init_mode,init_mode_effective,init_warning,SNR_dB,T,ris_shape,K,N,trial,seed,pipeline,failed,error,Y_NMSE,Z_NMSE,raw_noisy_residual,Z_noisy_residual,position_error,range_RMSE,delay_RMSE,polarization_angle_RMSE,delay_geometry_consistency_RMSE,compressed_ris_manifold_residual,evs_maxwell_consistency_residual,common_delay_pole_consistency,vp_converged,vp_nfev,vp_final_noisy_objective,vp_initial_noisy_objective,vp_initial_Y_NMSE,vp_worsened_noisy_objective,vp_worsened_true_nmse,optimizer_converged,optimizer_status,optimizer_message,nfev,initial_noisy_objective,final_noisy_objective,relative_noisy_objective_decrease,final_position_error,final_Y_NMSE,fail_convergence,fail_position_50cm,fail_position_1m,fail_nmse_1e2,fail_noisy_objective_increase,stage2_worsened_noisy_z_residual,stage2_worsened_true_z_nmse,stage2_initial_Z_noisy_residual,stage2_final_Z_noisy_residual,stage2_initial_Z_NMSE,stage2_final_Z_NMSE,success_pos_10cm,success_pos_20cm,success_pos_50cm,success_nmse_1e3,success_nmse_1e2
clean,clean,,0.0,128,32x32,2,24,2,2026052802,Stage-I + Stage-II,False,,0.00017838849769762362,0.00017336808855001427,0.5046958516866605,0.5050614566287143,0.32114642068372473,0.13518615114941335,4.1848635814269155e-12,0.00824117117409964,4.0327350949235064e-10,7.8573670251485875e-25,9.999997684905488e-21,6.206335383118183e-17,,,,,,,,,,,,,,,,,,,,,,False,True,0.505080170967065,0.5050614566287143,0.00015063866205239487,0.00017336808855001427,False,False,True,True,True
clean,clean,,0.0,128,32x32,2,24,2,2026052802,Stage-I + Stage-II + VP,False,,0.00010780380203864509,9.861166497338436e-05,0.5046832853534943,0.5051101391238131,0.005923753284767518,0.0008176332827398589,4.488470619947554e-12,0.0003771036992114764,3.308722450212111e-24,7.8503271436853285e-25,1.0000001609569696e-20,1.2412670766236366e-16,True,801,0.5046832853534943,0.5777172076171375,0.14695319796716907,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,801,0.5777172076171375,0.5046832853534943,0.1264181182431457,0.005923753284767518,0.00010780380203864509,False,False,False,False,False,False,True,0.505080170967065,0.5050614566287143,0.00015063866205239487,0.00017336808855001427,True,True,True,True,True
clean,clean,,0.0,128,32x32,2,24,3,2026052803,Stage-I only,False,,0.00040202183790058406,0.0002664660323099333,0.5025736522410845,0.5047345660642707,0.7025832448939724,0.08697578446747255,1.7270126654397834e-11,0.006008951359868151,9.745608668099811e-11,5.9788160755450855e-25,1.000005178406085e-20,7.850462293418876e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True
clean,clean,,0.0,128,32x32,2,24,3,2026052803,Stage-I + VP,False,,0.004098692084403035,0.003933655580444736,0.5045584862339506,0.5066345796157998,0.7000015478251231,0.00838382348342863,3.28942505109225e-11,0.0068674348093804094,1.849632079338486e-24,5.9742858381320425e-25,9.999993502637731e-21,1.1102230246251565e-16,True,417,0.5045584862339506,0.5588167612658642,0.1132176923925723,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,417,0.5588167612658642,0.5045584862339506,0.09709493127765997,0.7000015478251231,0.004098692084403035,False,True,False,False,False,,,,,,,False,False,False,False,True
clean,clean,,0.0,128,32x32,2,24,3,2026052803,Stage-I + Stage-II,False,,0.00017819744785690122,0.00013273020808216588,0.5025524472142309,0.5047117742322401,0.6987310925262092,0.08648918622813602,1.043256929828015e-11,0.005222445600435935,5.057292053326095e-11,5.979381691892748e-25,9.999994273769676e-21,1.4056797676537057e-16,,,,,,,,,,,,,,,,,,,,,,False,False,0.5047345660642707,0.5047117742322401,0.0002664660323099333,0.00013273020808216588,False,False,False,True,True
clean,clean,,0.0,128,32x32,2,24,3,2026052803,Stage-I + Stage-II + VP,False,,0.004097587168357389,0.003932899412511202,0.504558709151277,0.5066356527133041,0.7000013800568362,0.008361399491494077,3.2857773848633255e-11,0.006743827261010538,2.198262631226462e-24,5.974269256969009e-25,1.0000030356460849e-20,1.5700924586837752e-16,True,449,0.504558709151277,0.5533705199661813,0.1024013437317883,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,449,0.5533705199661813,0.504558709151277,0.08820818792061304,0.7000013800568362,0.004097587168357389,False,True,False,False,False,False,False,0.5047345660642707,0.5047117742322401,0.0002664660323099333,0.00013273020808216588,False,False,False,False,True
clean,clean,,0.0,128,32x32,2,24,4,2026052804,Stage-I only,False,,0.0005836739411829044,0.0003957867558167489,0.5027709570119344,0.5046396786753949,0.6784571334753534,0.07104070955859473,2.9060383846528728e-11,0.020371491977725285,3.025462902514668e-11,5.636823929477931e-25,1.0000016858478877e-20,1.0626019854981767e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True
clean,clean,,0.0,128,32x32,2,24,4,2026052804,Stage-I + VP,False,,0.0012152893189045896,0.0011085410160050471,0.5030174480224072,0.5049720013338955,0.6085894485972001,0.00965246081743833,3.946489678000914e-11,0.011352573004744713,2.0679515313825692e-25,5.609104348562843e-25,1.0000011003955475e-20,5.551115123125783e-17,True,865,0.5030174480224072,0.5356329627673397,0.06413834775404385,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,865,0.5356329627673397,0.5030174480224072,0.06089153769854817,0.6085894485972001,0.0012152893189045896,False,True,False,False,False,,,,,,,False,False,False,False,True
clean,clean,,0.0,128,32x32,2,24,4,2026052804,Stage-I + Stage-II,False,,0.000287794260738273,0.0002283031150931332,0.5027535470628781,0.5045872957284234,0.6959262018430886,0.13615055772064835,2.4271654956916378e-11,0.01275146205343307,4.081710426621736e-10,5.620506785229493e-25,1.0000001499747712e-20,1.1102230246251565e-16,,,,,,,,,,,,,,,,,,,,,,False,False,0.5046396786753949,0.5045872957284234,0.0003957867558167489,0.0002283031150931332,False,False,False,True,True
clean,clean,,0.0,128,32x32,2,24,4,2026052804,Stage-I + Stage-II + VP,False,,0.0012040614211964258,0.0010980651104155448,0.5030179340066845,0.5049718186975135,0.6079609547424086,0.009825363484360363,3.9553424777614594e-11,0.011082891257467775,2.339620081609152e-24,5.610785581565737e-25,9.999995179716051e-21,5.551115123125783e-17,True,1041,0.5030179340066845,0.6448267113072818,0.28545450287075574,False,False,True,1,SciPy unavailable; used bounded coordinate-search fallback,1041,0.6448267113072818,0.5030179340066845,0.2199176535554846,0.6079609547424086,0.0012040614211964258,False,True,False,False,False,False,False,0.5046396786753949,0.5045872957284234,0.0003957867558167489,0.0002283031150931332,False,False,False,False,True
