figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,position_error_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,final_runner_name,used_main_single_proposed_path,variant_config_hash,global_vp_mode,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,jones_mode,adaptive_enabled,adaptive_policy_name,selected_vp_family_branch,lambda_path_min,lambda_path_max,lambda_path_mean,lambda_clipped_fraction,used_stage1_regularizer,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,efim_unscaled_cache_hit,efim_unscaled_cache_key,efim_sigma2,efim_reuse_mode,peb_backend,rss_mb_before,rss_mb_after,rss_mb_delta,warning,debug_main_position_error_m,debug_main_y_nmse,debug_main_raw_objective,debug_main_global_vp_mode,debug_main_adaptive_enabled,debug_config_diff_summary,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason
fig1_fig2,free_jones_vp,70,1909013635,-5.0,snr_db,-5.0,3,3,3,3,full_6d,1909013635,,,nan,,False,,2495.385992191732,0.035597307004886496,0.035597307004886496,0.01105893230786308,0.02304878719458365,1.738085951165731e-11,0.6705665217739447,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,82cb56e525f554c2,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[2.62962796474518e-07,4.137679324400366e-05,0.0001575941836789844]",jnpp_then_vp,"[""poor_clock_consistency""]",3107729.522963433,3096560,False,1668185.5738429795,115.69349215712617,6.120211966672216,0.20601703304629257,"[5.006878237373615,4.577076938094567,4.562965114434232]",230.73466338217258,2221.209916137159,2453.4457804635167,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.035597307004886496,0.01105893230786308,0.6705665217739447,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,70,1909013635,-5.0,snr_db,-5.0,3,3,3,3,full_6d,1909013635,,,nan,,False,,2686.716684639454,0.002991191471540487,0.002991191471540487,2.7982462333595813e-05,0.000327616527712224,1.668043853413403e-12,0.6681986755517686,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,82cb56e525f554c2,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.482149967917049e-07,4.755577730233013e-05,0.00014578858737159287]",jnpp_then_vp,"[""poor_clock_consistency""]",3107729.522963433,3096560,False,1668185.5738429795,115.69349215712617,6.120211966672216,0.20601703304629257,"[5.006878237373615,4.577076938094567,4.562965114434232]",230.73466338217258,226.17613685131073,474.64968859404325,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.035597307004886496,0.01105893230786308,0.6705665217739447,0.002991191471540487,2.7982462333595813e-05,0.6681986755517686,True,accepted,accepted
fig1_fig2,PEB,70,1909013635,-5.0,snr_db,-5.0,3,3,3,3,full_6d,1909013635,,,nan,,False,,5.743567541241646,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,8df48bc78e5eca45,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0008448859546956159,nan,nan,0.0008448859546956159,False,7231f7a6a5fbe3cc9ff17e3c4c7cf441e267b4bae6d7354446f2924a30ccbc7b,0.6681598840521448,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1_fig2,free_jones_vp,82,2146768378,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2146768378,,,nan,,False,,1872.633402734995,0.026103966985178452,0.026103966985178452,0.0021144280830186616,0.0037102617237723917,3.719768221257078e-12,2.0882914309619736,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,a34f6f8675170cbf,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.361125668929279e-07,6.419261198503522e-05,8.699887486389365e-06]",jnpp_then_vp,"[""poor_clock_consistency""]",3102259.999529297,3096560,False,2690033.125063282,68.75153962452524,6.473109249806211,0.16476228916477104,"[5.163733111801871,4.814443416976153,4.813996044387413]",232.47767301648855,1865.0538572445512,2098.906456246972,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.026103966985178452,0.0021144280830186616,2.0882914309619736,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,82,2146768378,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2146768378,,,nan,,False,,2000.8933343440294,0.026103966985178452,0.026103966985178452,0.0021144280830186616,0.0037102617237723917,3.719768221257078e-12,2.0882914309619736,False,direct_vp_rollback,global_exact_spherical_vp,proposed_post_stage1,False,a34f6f8675170cbf,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.361125668929279e-07,6.419261198503522e-05,8.699887486389365e-06]",jnpp_then_vp,"[""poor_clock_consistency""]",3102259.999529297,3096560,False,2690033.125063282,68.75153962452524,6.473109249806211,0.16476228916477104,"[5.163733111801871,4.814443416976153,4.813996044387413]",232.47767301648855,1879.0123503953218,2112.8649493977427,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.026103966985178452,0.0021144280830186616,2.0882914309619736,0.0008588758589008213,1.6494670420925713e-05,2.0869505446550676,True,rollback,existing_selector_rollback
fig1_fig2,PEB,82,2146768378,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2146768378,,,nan,,False,,5.743620321154594,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,c4882b6ff7559adb,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0006385124679184979,nan,nan,0.0006385124679184979,False,3a0d3e6549ad4d642256987481bea72461b73f437bf823d820291ff80c435722,2.0844652373120462,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1_fig2,free_jones_vp,95,1902842209,-5.0,snr_db,-5.0,3,3,3,3,full_6d,1902842209,,,nan,,False,,1312.2190336212516,0.03213417556558633,0.03213417556558633,0.008457178016502443,0.02141727841858526,9.408521021117048e-12,0.8973133489182131,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,59e7170546a96c03,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.0017662318171583345,1.878090461460957e-05,9.304253923398661e-06]",jnpp_then_vp,"[""poor_clock_consistency""]",3103077.4587738253,3096560,False,2185476.910698633,100.26652488056885,3.918180139662592,0.1626524148973998,"[4.895849851004008,5.293727714237792,5.076871171586222]",213.8267405629158,1203.5168343037367,1418.6926142051816,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.03213417556558633,0.008457178016502443,0.8973133489182131,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,95,1902842209,-5.0,snr_db,-5.0,3,3,3,3,full_6d,1902842209,,,nan,,False,,1504.5750013664365,0.0014930633613810052,0.0014930633613810052,3.619730938459676e-05,0.0012793824011487066,3.0041063227597054e-12,0.8949223073837644,False,ris_only_stage2_then_vp,global_exact_spherical_vp,proposed_post_stage1,False,59e7170546a96c03,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[0.001635584431791569,1.4025647309358239e-05,1.0221742181051072e-05]",jnpp_then_vp,"[""poor_clock_consistency""]",3103077.4587738253,3096560,False,2185476.910698633,100.26652488056885,3.918180139662592,0.1626524148973998,"[4.895849851004008,5.293727714237792,5.076871171586222]",213.8267405629158,162.13367626070976,394.1973714530468,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.03213417556558633,0.008457178016502443,0.8973133489182131,0.0014930633613810052,3.619730938459676e-05,0.8949223073837644,True,accepted,accepted
fig1_fig2,PEB,95,1902842209,-5.0,snr_db,-5.0,3,3,3,3,full_6d,1902842209,,,nan,,False,,5.820585317909718,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,737f7c44a2aaba57,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0005850966155465147,nan,nan,0.0005850966155465147,False,76a18cb09eabd2843f7f18de70d1414c840c1b810997a8411f8aedb26f349b2f,0.8954333295430281,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1_fig2,free_jones_vp,20,3607282624,0.0,snr_db,0.0,3,3,3,3,full_6d,3607282624,,,nan,,False,,195.76161955296993,0.0018902630127146148,0.0018902630127146148,8.155287615574428e-05,0.0016337365144505208,6.50861766211268e-13,0.5718510398706801,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,a57ce8a44391722c,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.8227957399823388e-05,2.735063629230823e-06,2.1380949135524514e-06]",direct_vp,[],3095468.197881073,3096560,True,8579724.572493428,65.46692132607738,16.35863532816418,0.04519993701790599,"[4.9028155963553015,5.00619465970647,4.988830502382498]",236.17795306444168,186.92502522468567,424.5511215105653,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0018902630127146148,8.155287615574428e-05,0.5718510398706801,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,20,3607282624,0.0,snr_db,0.0,3,3,3,3,full_6d,3607282624,,,nan,,False,,193.36831383407116,0.0018902630127146148,0.0018902630127146148,8.155287615574428e-05,0.0016337365144505208,6.50861766211268e-13,0.5718510398706801,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,a57ce8a44391722c,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.8227957399823388e-05,2.735063629230823e-06,2.1380949135524514e-06]",direct_vp,[],3095468.197881073,3096560,True,8579724.572493428,65.46692132607738,16.35863532816418,0.04519993701790599,"[4.9028155963553015,5.00619465970647,4.988830502382498]",236.17795306444168,186.8514041006565,424.4775003865361,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.0018902630127146148,8.155287615574428e-05,0.5718510398706801,nan,nan,nan,False,not_run,not_requested
fig1_fig2,PEB,20,3607282624,0.0,snr_db,0.0,3,3,3,3,full_6d,3607282624,,,nan,,False,,6.455423541367054,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,ec00542421306cf4,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.00033759600438714983,nan,nan,0.00033759600438714983,False,614c1d5045ebcd05d85977496f662de337f9fdc3d750d62d2ed64ea91c25b070,0.5720556931745366,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1_fig2,free_jones_vp,86,2710333116,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2710333116,,,nan,,False,,1892.8914490938187,0.023507307632542968,0.023507307632542968,0.0010465490564888387,0.0025159446012039434,4.999827924289804e-12,0.5317032755891559,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,cae018dae185bc76,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[3.1487958009194117e-06,2.2924569432616246e-05,3.517459386216584e-05]",direct_vp,"[""poor_clock_consistency""]",3095654.503966855,3096560,True,1904945.3212487742,100.81724831457414,9.49820599209741,0.12614279626634112,"[5.179842750578235,5.320413826274598,5.0118346623415215]",242.31496059894562,1667.245720475912,1911.0642987564206,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.023507307632542968,0.0010465490564888387,0.5317032755891559,nan,nan,nan,False,not_run,not_requested
fig1_fig2,free_jones_vp_gated_rescue,86,2710333116,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2710333116,,,nan,,False,,1908.83272960037,0.023507307632542968,0.023507307632542968,0.0010465490564888387,0.0025159446012039434,4.999827924289804e-12,0.5317032755891559,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,cae018dae185bc76,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[3.1487958009194117e-06,2.2924569432616246e-05,3.517459386216584e-05]",direct_vp,"[""poor_clock_consistency""]",3095654.503966855,3096560,True,1904945.3212487742,100.81724831457414,9.49820599209741,0.12614279626634112,"[5.179842750578235,5.320413826274598,5.0118346623415215]",242.31496059894562,1690.4826012551785,1934.301179535687,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.023507307632542968,0.0010465490564888387,0.5317032755891559,nan,nan,nan,False,not_run,not_requested
fig1_fig2,PEB,86,2710333116,-5.0,snr_db,-5.0,3,3,3,3,full_6d,2710333116,,,nan,,False,,5.625112675130367,nan,nan,nan,nan,nan,nan,False,,,peb_only,False,d950c4814078350f,,,,,,,adaptive_jones,True,fixed_anchor_then_adaptive_jones_score_selection,,nan,nan,nan,nan,True,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0007980495852817404,nan,nan,0.0007980495852817404,False,3a54fb3766786593be45a3a051de7709f83ecc3b2e8854a667fc53103d577f6b,0.5318615498599564,computed_unscaled,cpu,nan,nan,nan,,,,,,,,nan,nan,nan,nan,nan,nan,False,,
fig1_fig2,free_jones_vp,97,3282133633,-5.0,snr_db,-5.0,3,3,3,3,full_6d,3282133633,,,nan,,False,,1366.1627430692315,0.023849104967015797,0.023849104967015797,0.0012964820653389628,0.0025812511576062225,2.0397692709170077e-12,2.2227729741764786,False,direct_vp,global_exact_spherical_vp,proposed_post_stage1,False,784f6a2428adfa1d,jones_free,cpu,False,,numpy,numpy.linalg.solve,jones_free,False,,,0.0,0.0,0.0,0.0,True,6,4,nan,nan,"[0.0,0.0,0.0]",,"[1.5794171138602382e-06,3.5587901576276335e-06,7.417047323339038e-07]",jnpp_then_vp,[],3101207.9703746135,3096560,False,2135693.40267851,74.13411477374711,9.635954255840183,0.02026852584529645,"[4.969210114685978,4.957088193710424,5.004843918901139]",220.2000031992793,1357.8803757950664,1579.408528983593,nan,nan,nan,nan,False,,nan,,,nan,nan,nan,,,,,,,,0.023849104967015797,0.0012964820653389628,2.2227729741764786,nan,nan,nan,False,not_run,not_requested
