Primary comparison: Stage-I + VP vs Stage-I + Stage-II + VP
init=weak, SNR=-5 dB, T=128, RIS=32x32: Y_NMSE median 5.996e-04 -> 5.364e-04, pos median 1.201e-02 -> 1.031e-02 m, pos p90 8.898e-01 -> 6.103e-01 m, pos p95 1.134e+00 -> 9.910e-01 m, success20 78.0% -> 86.0%, VP conv 100.0% -> 98.0%, fail>50cm 20.0% -> 14.0%, fail>1m 8.0% -> 6.0%, improve(pos) 60.0%, gain20 8.0%, gain50 6.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=-5 dB, T=128, RIS=8x8: Y_NMSE median 5.203e-04 -> 4.949e-04, pos median 4.768e-02 -> 4.612e-02 m, pos p90 6.139e-01 -> 5.978e-01 m, pos p95 6.383e-01 -> 6.380e-01 m, success20 88.0% -> 88.0%, VP conv 100.0% -> 100.0%, fail>50cm 12.0% -> 12.0%, fail>1m 0.0% -> 0.0%, improve(pos) 36.0%, gain20 0.0%, gain50 0.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=16, RIS=16x16: Y_NMSE median 1.265e-03 -> 1.333e-03, pos median 3.596e-02 -> 3.934e-02 m, pos p90 1.263e+00 -> 1.243e+00 m, pos p95 1.326e+00 -> 1.446e+00 m, success20 76.0% -> 68.0%, VP conv 100.0% -> 100.0%, fail>50cm 24.0% -> 30.0%, fail>1m 16.0% -> 16.0%, improve(pos) 48.0%, gain20 -8.0%, gain50 -6.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=16, RIS=32x32: Y_NMSE median 8.016e-01 -> 7.657e-01, pos median 8.923e-01 -> 8.111e-01 m, pos p90 1.415e+00 -> 1.457e+00 m, pos p95 1.484e+00 -> 1.922e+00 m, success20 20.0% -> 24.0%, VP conv 100.0% -> 98.0%, fail>50cm 66.0% -> 60.0%, fail>1m 40.0% -> 38.0%, improve(pos) 46.0%, gain20 4.0%, gain50 6.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=16, RIS=8x8: Y_NMSE median 1.563e-03 -> 1.543e-03, pos median 7.334e-02 -> 8.661e-02 m, pos p90 1.308e+00 -> 1.016e+00 m, pos p95 1.501e+00 -> 1.310e+00 m, success20 68.0% -> 66.0%, VP conv 100.0% -> 96.0%, fail>50cm 30.0% -> 32.0%, fail>1m 16.0% -> 12.0%, improve(pos) 68.0%, gain20 -2.0%, gain50 -2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=32, RIS=16x16: Y_NMSE median 7.012e-04 -> 7.505e-04, pos median 2.011e-02 -> 2.145e-02 m, pos p90 8.344e-01 -> 9.394e-01 m, pos p95 1.032e+00 -> 1.143e+00 m, success20 78.0% -> 76.0%, VP conv 98.0% -> 100.0%, fail>50cm 22.0% -> 24.0%, fail>1m 6.0% -> 8.0%, improve(pos) 56.0%, gain20 -2.0%, gain50 -2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=32, RIS=32x32: Y_NMSE median 7.914e-01 -> 4.315e-01, pos median 5.768e-01 -> 4.255e-01 m, pos p90 1.183e+00 -> 1.122e+00 m, pos p95 1.290e+00 -> 1.474e+00 m, success20 28.0% -> 44.0%, VP conv 100.0% -> 100.0%, fail>50cm 54.0% -> 42.0%, fail>1m 30.0% -> 26.0%, improve(pos) 56.0%, gain20 16.0%, gain50 12.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=32, RIS=8x8: Y_NMSE median 8.000e-04 -> 7.714e-04, pos median 3.822e-02 -> 3.690e-02 m, pos p90 6.818e-01 -> 5.963e-01 m, pos p95 7.001e-01 -> 7.944e-01 m, success20 82.0% -> 88.0%, VP conv 98.0% -> 100.0%, fail>50cm 18.0% -> 12.0%, fail>1m 2.0% -> 4.0%, improve(pos) 58.0%, gain20 6.0%, gain50 6.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=64, RIS=16x16: Y_NMSE median 2.906e-04 -> 2.982e-04, pos median 1.683e-02 -> 1.786e-02 m, pos p90 7.580e-02 -> 4.880e-01 m, pos p95 8.293e-01 -> 7.044e-01 m, success20 90.0% -> 88.0%, VP conv 100.0% -> 100.0%, fail>50cm 8.0% -> 10.0%, fail>1m 4.0% -> 2.0%, improve(pos) 40.0%, gain20 -2.0%, gain50 -2.0%, VP worse(noisy) 0.0% -> 0.0%
init=weak, SNR=0 dB, T=64, RIS=32x32: Y_NMSE median 4.881e-04 -> 4.757e-04, pos median 1.204e-02 -> 9.492e-03 m, pos p90 1.105e+00 -> 1.065e+00 m, pos p95 1.249e+00 -> 1.176e+00 m, success20 62.0% -> 70.0%, VP conv 100.0% -> 100.0%, fail>50cm 36.0% -> 28.0%, fail>1m 18.0% -> 16.0%, improve(pos) 62.0%, gain20 8.0%, gain50 8.0%, VP worse(noisy) 0.0% -> 0.0%
