figure,variant,snr_db,trial_id,seed,receiver_mode,K,paper_k,effective_K,selected_branch,reliability_decision,trigger_reasons,gof_pass,position_error_m,peb_position_m,error_over_peb,relative_outlier_5peb,y_nmse,raw_objective_final,direct_candidate_position_error_m,direct_candidate_y_nmse,direct_candidate_raw_objective,rescue_candidate_position_error_m,rescue_candidate_y_nmse,rescue_candidate_raw_objective,rescue_candidate_available,rescue_accept_decision,rescue_reject_reason,direct_candidate_lambda_jones_per_path,direct_candidate_snr_eff_per_path,direct_candidate_jones_leakage_per_path,rescue_candidate_lambda_jones_per_path,rescue_candidate_snr_eff_per_path,rescue_candidate_jones_leakage_per_path,direct_candidate_data_only_scaled_efim_lambda_min,direct_candidate_data_only_scaled_efim_condition_number,rescue_candidate_data_only_scaled_efim_lambda_min,rescue_candidate_data_only_scaled_efim_condition_number,legacy_stage1_decision,gof_reliability_decision,stage1_geometry_trigger,stage1_geometry_trigger_reasons
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,0.0,84,3985341227,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.0002797099227144018,0.0004651456702461851,0.6013383346476412,False,7.413640397765852e-06,0.6950777364017267,0.0002797099227144018,7.413640397765852e-06,0.6950777364017267,0.0002797196381827686,7.413669871165516e-06,0.6950777364017288,True,rollback,existing_selector_rollback,"[1.5027034068227403,5.404053946314989,6.805278774342773]","[0.665467314080867,0.1850462652536053,0.14694475173645927]","[1.4502663989142645e-07,3.2039389787530664e-08,4.897823861269149e-08]","[1.5027034071421264,5.40405394075204,6.805278769798901]","[0.6654673139394279,0.18504626544409247,0.14694475183457403]","[1.779491747194701e-07,2.9018580077065873e-09,3.343740324027606e-08]",4837779.2614170695,108.44574356233858,4837779.493234465,108.44573839182382,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,6,1919806993,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,6.212459110843843e-05,0.00019845421998979928,0.31304242918911823,False,7.265370803507937e-07,0.13275288912771324,6.212459110843843e-05,7.265370803507937e-07,0.13275288912771324,6.212260245384771e-05,7.26539260782423e-07,0.13275288912771308,True,rollback,existing_selector_rollback,"[0.7841025696674051,7.427599490890187,0.5697287071116894]","[1.2753433526220792,0.13463299969513082,1.7552213667958818]","[1.4331664033671885e-06,6.193164931378567e-08,2.3259097607140095e-08]","[0.78410256967641,7.4275994903971325,0.5697287071135139]","[1.2753433526074327,0.13463299970406795,1.7552213667902612]","[1.4071026811507663e-06,7.360251869934709e-08,3.019413125613296e-08]",26068212.397586554,72.21016542584108,26068212.5384492,72.21016505063947,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,7,1914929603,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,0.00023462570940596352,0.00019067097896281586,1.2305265892179618,False,1.6961704789905553e-06,0.2325824195914393,0.00023462570940596352,1.6961704789905553e-06,0.2325824195914393,0.00023462711184303297,1.696175699188489e-06,0.23258241959143955,True,rollback,existing_selector_rollback,"[4.677967043878229,1.5567172345758922,0.43267633210721484]","[0.21376807288626823,0.6423774194745654,2.3111964436080426]","[1.7775921702561098e-07,6.989621555420453e-08,9.597676677792398e-07]","[4.677967044320547,1.5567172345160347,0.43267633213312223]","[0.2137680728660557,0.6423774194992655,2.311196443469655]","[1.7583050248482138e-07,6.878570333927951e-08,9.734247733810963e-07]",25589592.034333307,85.29585566279317,25589592.040981326,85.29585557544067,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,8,641399591,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.00012743535979698224,0.00019536374498175258,0.6522978959524194,False,1.1824726522321612e-06,0.07133714787734204,0.00012743535979698224,1.1824726522321612e-06,0.07133714787734204,0.00012743778739168356,1.1824724493141643e-06,0.07133714787734197,True,rollback,existing_selector_rollback,"[3.292541557671122,0.710834566098356,0.6901918363404758]","[0.3037167435797004,1.406797091323387,1.4488725414393395]","[8.085146761236226e-08,1.4351241358841955e-09,5.123097417581347e-07]","[3.2925415574997157,0.7108345660958055,0.6901918363022965]","[0.3037167435955116,1.4067970913284347,1.4488725415194865]","[8.072362742316423e-08,1.3156776866303416e-09,5.111388798978877e-07]",27011753.644661136,78.3502983894564,27011753.787767008,78.3502979972744,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,10,781873798,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.0001286218099589464,0.00019552365454749974,0.6578324768765997,False,1.32757130859196e-06,0.06968404794975931,0.0001286218099589464,1.32757130859196e-06,0.06968404794975931,0.0001286228503281843,1.3275712320771825e-06,0.06968404794975921,True,rollback,existing_selector_rollback,"[1.2372660945482725,11.338011463919644,0.4415612873402426]","[0.8082335759502599,0.08819888771244493,2.264691286736407]","[1.289975792430296e-07,1.912440826055857e-08,3.2279348125974204e-07]","[1.2372660945550131,11.338011463093451,0.44156128734677075]","[0.8082335759458568,0.08819888771887191,2.2646912867029254]","[1.3483796409725697e-07,1.7696041979081554e-08,3.2947110522103964e-07]",25785005.163466133,81.20679766638527,25785005.07650615,81.2067981023788,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,0.0,93,3741086398,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.0001615624060868027,0.00030231334204852873,0.5344203632960002,False,5.578521540170533e-06,0.14866759379707142,0.0001615624060868027,5.578521540170533e-06,0.14866759379707142,0.00016156170031962616,5.578502988055193e-06,0.14866759379707176,True,rollback,existing_selector_rollback,"[4.8949471126477,8.37719942196765,1.4768392836507962]","[0.20429229917750844,0.11937163598723799,0.6771217498538431]","[2.32704616586604e-07,5.562921826803793e-07,8.819137354606102e-07]","[4.894947112885792,8.37719941805393,1.4768392836560595]","[0.20429229916757158,0.11937163604300687,0.6771217498514298]","[8.864619029381356e-08,7.985824399958335e-08,9.105462541503635e-07]",9009751.3174721,75.51826676892122,9009751.32218112,75.51826671489178,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,13,634888206,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.0002831715461709404,0.00020964579606610204,1.350714164006682,False,1.3142404026759112e-06,0.0646574091352554,0.0002831715461709404,1.3142404026759112e-06,0.0646574091352554,0.00028316832291562277,1.3142305465038153e-06,0.0646574091352554,True,rollback,existing_selector_rollback,"[0.5377923467739819,8.16132385621252,0.8528594540782963]","[1.8594537575666399,0.12252914081220093,1.1725261357158416]","[1.09078628854684e-06,9.528664845848363e-09,1.1871840328090674e-06]","[0.5377923467603829,8.161323858579845,0.8528594541288551]","[1.8594537576136596,0.12252914077665937,1.1725261356463326]","[1.2082643508379064e-06,1.452352767446132e-08,7.659497623884396e-07]",23846894.66632142,80.67568422207671,23846894.431969464,80.67568500795292,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,15,2734808712,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.00022966085662175277,0.0001946618384083946,1.1797939364978733,False,1.4974951872152595e-06,0.03650893540806676,0.00022966085662175277,1.4974951872152595e-06,0.03650893540806676,0.0002296613037864737,1.4974972252965804e-06,0.03650893540806672,True,rollback,existing_selector_rollback,"[3.5028115699020486,0.6393508386592359,0.774319895966342]","[0.2854849540263626,1.5640864757390975,1.291455902409995]","[9.956361182745221e-08,4.52871620921588e-09,7.126472129446906e-07]","[3.502811570503141,0.639350838643504,0.774319895970955]","[0.28548495397737256,1.5640864757775836,1.2914559024023011]","[8.784579895133713e-08,2.9269720189936944e-09,6.935066657381569e-07]",27434825.87872232,70.03066096936068,27434825.841065973,70.0306610824201,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,4,287230138,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.00018976019302163386,0.00017845997537464458,1.0633207396967668,False,1.4451515446861987e-06,0.15631429452681647,0.00018976019302163386,1.4451515446861987e-06,0.15631429452681647,0.00018976037538391595,1.4451519296047836e-06,0.15631429452681744,True,rollback,existing_selector_rollback,"[4.4959272025049515,0.72964446379267,0.633689201254825]","[0.22242353022049466,1.3705305112592787,1.5780606613134267]","[1.260527305878031e-07,3.3240088508025474e-08,1.2093722195583693e-06]","[4.495927202237203,0.7296444638119008,0.633689201259739]","[0.22242353023374076,1.3705305112231563,1.5780606613011894]","[7.894284605695074e-08,4.15851582247704e-08,1.2508180849515626e-06]",29164371.95952052,76.1452915980684,29164371.964451425,76.14529159642203,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,17,2127997378,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.00017131086649970005,0.00022499055785729115,0.7614135816684383,False,1.7489416292360956e-06,0.1266449717512926,0.00017131086649970005,1.7489416292360956e-06,0.1266449717512926,0.00017131296007788776,1.7489448098745828e-06,0.12664497175129302,True,rollback,existing_selector_rollback,"[1.3937195427622446,0.5255573410351552,1.857277976333077]","[0.7175044686656854,1.902741950154937,0.5384223647407353]","[1.1104481607460512e-06,4.5799934892815e-08,1.0103516263943745e-06]","[1.3937195427372133,0.525557341054463,1.8572779762771734]","[0.7175044686785719,1.9027419500850344,0.5384223647569417]","[9.923795884339569e-07,1.303525165760234e-08,8.023203831505902e-07]",20560141.725389376,83.2597256277732,20560141.900800213,83.25972493494437,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,11,3685333214,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,"[""poor_clock_consistency""]",True,1.749244738573503e-05,0.0002422267186601923,0.07221518535399188,False,8.177346727295451e-07,0.09054006285060012,1.749244738573503e-05,8.177346727295451e-07,0.09054006285060012,1.7497435629300792e-05,8.177445030728331e-07,0.0905400628506008,True,rollback,existing_selector_rollback,"[10.24557848258299,0.3820607172824554,2.228938531060471]","[0.09760307840984363,2.6173850248527994,0.4486440456130466]","[1.2669825155802922e-07,9.940131499573428e-08,1.005094000406287e-06]","[10.245578481651098,0.3820607172173774,2.228938531541491]","[0.09760307841872118,2.6173850252986295,0.4486440455162262]","[9.46438828731021e-08,1.0831791179505863e-07,9.641466653128787e-07]",18981008.995855987,91.95748218426473,18981008.524110723,91.95748454900108,ris_only_stage2_then_vp,direct_vp,True,"[""poor_clock_consistency""]"
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,18,3644258948,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,9.1624306527593e-05,0.00018765916090246826,0.4882485144181835,False,1.1631235711289838e-06,0.13897517213139454,9.1624306527593e-05,1.1631235711289838e-06,0.13897517213139454,9.162559700788862e-05,1.1631250930056823e-06,0.1389751721313943,True,rollback,existing_selector_rollback,"[2.0500153827928616,3.4222938564353886,0.4211291782280864]","[0.48780121768432233,0.2922016758193182,2.374568307537152]","[2.5381255967872516e-07,9.205765465803202e-08,2.389410152805455e-07]","[2.0500153827311887,3.4222938559823444,0.42112917822445955]","[0.48780121769899737,0.29220167585799994,2.3745683075576025]","[1.9946755068112254e-07,8.243420192177529e-08,2.6140660376954454e-07]",25492928.951570686,80.84320887306987,25492928.940303396,80.84320890436202,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,9,3933360494,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,5.662101495119385e-05,0.00021394930995070362,0.2646468687570901,False,1.6118045284800082e-06,0.037669894455623874,5.662101495119385e-05,1.6118045284800082e-06,0.037669894455623874,5.6621449303921175e-05,1.6118043837766334e-06,0.03766989445562382,True,rollback,existing_selector_rollback,"[0.7039197979678713,1.1947165753330424,1.1045611154841917]","[1.4206163868187418,0.8370186039480054,0.9053369578020487]","[4.0423416726916594e-07,3.6335611507445235e-06,8.779113829238515e-07]","[0.7039197979778721,1.1947165753154314,1.1045611154693151]","[1.4206163867985586,0.8370186039603438,0.9053369578142421]","[1.406165783166625e-07,2.6266445146541807e-08,3.682636831315635e-06]",22830519.55824606,76.99765366273235,22830519.515837308,76.99765381462,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,12,2210497206,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.0002236681542404593,0.0001808117699484918,1.237022093772856,False,9.569338413570794e-07,0.144173796428705,0.0002236681542404593,9.569338413570794e-07,0.144173796428705,0.00022366547853262475,9.569271929301411e-07,0.14417379642870545,True,rollback,existing_selector_rollback,"[1.62809441723498,1.1259760597874127,0.5995335267334763]","[0.6142149923323788,0.888118349681144,1.667963433918104]","[3.776648264429663e-07,1.6171799249014625e-07,5.182822538891902e-07]","[1.6280944173031529,1.1259760596945094,0.5995335267214941]","[0.6142149923066599,0.8881183497544217,1.6679634339514395]","[4.819491240644573e-07,4.989817887689813e-07,3.9807869258749183e-07]",28755075.682238467,71.48678572664679,28755075.61578489,71.48678594358965,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,19,3846521747,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.00040613629371140977,0.00022248313691943764,1.8254700079065944,False,2.1599145663820694e-06,0.03748198917125215,0.00040613629371140977,2.1599145663820694e-06,0.03748198917125215,0.0004061332894216226,2.1598994600672976e-06,0.03748198917125233,True,rollback,existing_selector_rollback,"[1.2390523402529434,0.5902521647643797,1.5101673463822336]","[0.8070684082599919,1.694191160482394,0.6621782694441752]","[7.32125633668865e-07,3.4840365883857986e-09,2.745278782067008e-07]","[1.2390523402850235,0.5902521647436159,1.5101673463517726]","[0.8070684082390963,1.6941911605419921,0.6621782694575318]","[6.336065107431032e-07,4.01027736101129e-09,2.7405163754546683e-07]",20977876.10409223,80.88890870131694,20977875.825848375,80.88890981544787,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,14,1092560480,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.00019688553033259676,0.0002032846704328461,0.9685212855124595,False,1.918923023617971e-06,0.06836063143903161,0.00019688553033259676,1.918923023617971e-06,0.06836063143903161,0.00019688863868310596,1.9189246795300557e-06,0.0683606314390321,True,rollback,existing_selector_rollback,"[1.1810595640183388,1.112357525852949,0.7118243337933615]","[0.8466973474195512,0.898991535326822,1.4048409874810242]","[6.278191000096688e-07,1.0181994191329047e-06,4.3606544159199577e-07]","[1.1810595639893369,1.112357525824094,0.7118243338020573]","[0.8466973474403425,0.8989915353501421,1.4048409874638623]","[4.730005303695121e-07,3.99640287959634e-07,1.2680523764260381e-06]",25092015.984646317,68.80171214085365,25092016.361210432,68.80171110437936,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,20,3607282624,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,7.740495420532389e-05,0.00018984418448603674,0.4077288667803101,False,2.1544179650501405e-06,0.18082282547596584,7.740495420532389e-05,2.1544179650501405e-06,0.18082282547596584,7.740552828282885e-05,2.1544106820605998e-06,0.18082282547596484,True,rollback,existing_selector_rollback,"[1.3605520343530721,2.4629191725783492,0.49903372996711126]","[0.7349957772648723,0.4060222564878855,2.0038725640156745]","[1.0539158105513047e-06,7.679675831180134e-08,3.1314085017577466e-07]","[1.36055203421619,2.462919172812467,0.4990337299523055]","[0.7349957773388186,0.40602225644929024,2.003872564075127]","[1.0594345727757848e-06,7.945731876371514e-08,3.225881370647745e-07]",27169370.945641372,65.45357712493168,27169371.000727892,65.45357697351547,direct_vp,direct_vp,False,[]
fig1_fig2,adaptive_jones_vp_proposed_force_lower_raw,5.0,21,4000820147,full_6d,3,3,3,direct_vp_rollback,jnpp_then_vp,[],True,0.00012512783780199311,0.000262463655237757,0.4767434854499912,False,9.707011018867475e-07,0.10999797306464447,0.00012512783780199311,9.707011018867475e-07,0.10999797306464447,0.00012512589987751706,9.706956452036435e-07,0.10999797306464466,True,rollback,existing_selector_rollback,"[0.36335165327706515,14.17206539350749,2.9509393993605895]","[2.75215480920658,0.07056134530990438,0.33887513929080665]","[4.4391234695663085e-07,3.334881761724357e-09,3.344954514574917e-08]","[0.36335165328182195,14.172065393516123,2.9509393990951414]","[2.75215480917055,0.0705613453098614,0.33887513932128976]","[2.757635292798112e-07,1.2029323110542659e-08,1.0916360439192728e-08]",16183441.110817768,135.557781444371,16183441.268371329,135.5577800922806,direct_vp,direct_vp,False,[]
