figure,variant,trial_id,seed,snr_db,x_name,x_value,K,receiver_mode,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m
fig4,dual_pol_peb,19,3846521747,-30.0,snr_db,-30.0,1,dual_pol,False,,4.716278791995137,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04975996089525603,nan,0.04975996089525603,nan
fig4,full_6d_evs_peb,0,3147786918,-30.0,snr_db,-30.0,1,full_6d,False,,4.937696526991203,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.018526650872191935,nan,nan,0.018526650872191935
fig4,full_6d_evs_peb,1,112311654,-30.0,snr_db,-30.0,1,full_6d,False,,4.353368443000363,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019290632247081097,nan,nan,0.019290632247081097
fig4,full_6d_evs_peb,2,3251202663,-30.0,snr_db,-30.0,1,full_6d,False,,4.334619770001154,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019158179588015068,nan,nan,0.019158179588015068
fig4,full_6d_evs_peb,3,3422926171,-30.0,snr_db,-30.0,1,full_6d,False,,4.617304797997349,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.018989238849813978,nan,nan,0.018989238849813978
fig4,full_6d_evs_peb,4,287230138,-30.0,snr_db,-30.0,1,full_6d,False,,4.038581360000535,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019697199872050083,nan,nan,0.019697199872050083
fig4,full_6d_evs_peb,5,2290547997,-30.0,snr_db,-30.0,1,full_6d,False,,4.52416046000144,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.01923749466139563,nan,nan,0.01923749466139563
fig4,full_6d_evs_peb,6,1919806993,-30.0,snr_db,-30.0,1,full_6d,False,,4.745192000002135,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.01989232928426416,nan,nan,0.01989232928426416
fig4,full_6d_evs_peb,7,1914929603,-30.0,snr_db,-30.0,1,full_6d,False,,4.2681009259977145,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0197573266901776,nan,nan,0.0197573266901776
fig4,full_6d_evs_peb,8,641399591,-30.0,snr_db,-30.0,1,full_6d,False,,3.7290232039958937,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.01947019530783164,nan,nan,0.01947019530783164
fig4,full_6d_evs_peb,9,3933360494,-30.0,snr_db,-30.0,1,full_6d,False,,4.488626726990333,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.020183252992868588,nan,nan,0.020183252992868588
fig4,full_6d_evs_peb,10,781873798,-30.0,snr_db,-30.0,1,full_6d,False,,4.591352368006483,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.020044787843145794,nan,nan,0.020044787843145794
fig4,full_6d_evs_peb,11,3685333214,-30.0,snr_db,-30.0,1,full_6d,False,,3.703223397998954,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.01896799670099524,nan,nan,0.01896799670099524
fig4,full_6d_evs_peb,12,2210497206,-30.0,snr_db,-30.0,1,full_6d,False,,5.296803873992758,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.020371188013205536,nan,nan,0.020371188013205536
fig4,full_6d_evs_peb,13,634888206,-30.0,snr_db,-30.0,1,full_6d,False,,3.431358422007179,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019131826621136872,nan,nan,0.019131826621136872
fig4,full_6d_evs_peb,14,1092560480,-30.0,snr_db,-30.0,1,full_6d,False,,4.43773026400595,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.01957842417452247,nan,nan,0.01957842417452247
fig4,full_6d_evs_peb,15,2734808712,-30.0,snr_db,-30.0,1,full_6d,False,,3.591733238994493,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.01980005689310766,nan,nan,0.01980005689310766
fig4,full_6d_evs_peb,16,1080178429,-30.0,snr_db,-30.0,1,full_6d,False,,4.882264312996995,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019140777098827996,nan,nan,0.019140777098827996
fig4,full_6d_evs_peb,17,2127997378,-30.0,snr_db,-30.0,1,full_6d,False,,3.3655055179988267,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.01892710364146196,nan,nan,0.01892710364146196
fig4,full_6d_evs_peb,18,3644258948,-30.0,snr_db,-30.0,1,full_6d,False,,4.590181884006597,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.019601751760252823,nan,nan,0.019601751760252823
fig4,full_6d_evs_peb,19,3846521747,-30.0,snr_db,-30.0,1,full_6d,False,,3.3012210199958645,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0203114490649593,nan,nan,0.0203114490649593
