init_mode,init_mode_effective,init_warning,SNR_dB,T,ris_shape,pipeline,num_rows,num_failed,failure_rate,Y_NMSE_mean,Y_NMSE_std,Y_NMSE_median,position_error_mean,position_error_std,position_error_median,position_error_p90,position_error_p95,range_RMSE_mean,range_RMSE_std,range_RMSE_median,delay_RMSE_mean,delay_RMSE_std,delay_RMSE_median,delay_geometry_consistency_RMSE_mean,delay_geometry_consistency_RMSE_std,delay_geometry_consistency_RMSE_median,compressed_ris_manifold_residual_mean,compressed_ris_manifold_residual_std,compressed_ris_manifold_residual_median,evs_maxwell_consistency_residual_mean,evs_maxwell_consistency_residual_std,evs_maxwell_consistency_residual_median,common_delay_pole_consistency_mean,common_delay_pole_consistency_std,common_delay_pole_consistency_median,success_pos_10cm_rate,success_pos_20cm_rate,success_pos_50cm_rate,success_nmse_1e3_rate,success_nmse_1e2_rate,vp_convergence_rate,vp_worsened_noisy_rate,vp_worsened_true_nmse_rate,fail_convergence_rate,fail_position_50cm_rate,fail_position_1m_rate,fail_nmse_1e2_rate,fail_noisy_objective_increase_rate,stage2_worsened_noisy_z_rate,stage2_worsened_true_z_nmse_rate,improvement_rate_position,improvement_rate_Y_NMSE,VP_success_gain_20cm,VP_success_gain_50cm
weak,weak,,-10.0,16,8x8,Stage-I + VP,50,0,0.0,0.33346460424714935,0.4316230124783512,0.01966456844279364,0.745103440596242,0.5254845847894736,0.6493517804101088,1.518785787626445,1.7593785133280466,0.2954321495303913,0.4087277496971654,0.04383127147347773,1.0132650987155883e-09,1.50404425857946e-09,6.172270456003903e-11,1.6863731758054176e-24,6.970109717683684e-25,1.7052765185096254e-24,4.2231809280454963e-23,1.695588352180281e-23,4.1230916763742347e-23,9.99999971584222e-21,1.5892685396341926e-26,9.999999460705067e-21,9.718472816258281e-17,4.570255808945564e-17,1.1102230246251565e-16,0.06,0.12,0.32,0.0,0.2,1.0,0.0,0.04,0.0,0.68,0.28,0.8,0.0,,,0.56,0.6,0.1,0.12
weak,weak,,-10.0,16,8x8,Stage-I only,50,0,0.0,0.36110907251210406,0.3422593467313843,0.1812638650306831,1.4714372018279969,0.44963064622320775,1.3682758021611605,1.9445313717435548,2.365901732321793,1.758913623478448,0.16943695701786157,1.698571727898719,3.866129298801948e-09,4.5632202127679264e-09,2.570862792549623e-09,3.4520964161886105e-09,3.527894787788962e-09,2.822079493952351e-09,4.407942894781971e-23,1.5278516451169372e-23,4.2371893820320637e-23,1.000000079871374e-20,1.896386949044117e-26,1.0000001851313575e-20,9.89300510419753e-17,4.527196534235893e-17,1.0626019854981767e-16,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.56,0.6,0.1,0.12
weak,weak,,-10.0,32,16x16,Stage-I + Stage-II,50,0,0.0,0.2046376837090922,0.33820871927811774,0.04102415333361829,1.2793700092471878,0.615207761988992,1.0699075064292756,2.1255772269182387,2.4509359754552764,1.4767982752805535,0.36679514342062797,1.5043203687693167,2.379402536566066e-09,4.6145545584097804e-09,2.4368135355421456e-10,3.301588349754842e-09,2.5879478313484227e-09,2.8542495476798953e-09,0.12054088856466944,0.29221119206896135,1.1611985227070959e-23,9.999998508514606e-21,1.2992640231338127e-26,9.999999557846142e-21,1.1659309561983357e-16,4.356782156803639e-17,1.1757450506243965e-16,0.0,0.0,0.02,0.0,0.04,,,,,,,,,0.0,0.44,0.52,0.44,-0.03999999999999998,-0.040000000000000036
weak,weak,,-10.0,32,16x16,Stage-I + Stage-II + VP,50,0,0.0,0.4160999643845259,0.4604387995151745,0.022061235199881967,0.6013057172011219,0.5841682647658653,0.5285615880841819,1.537094048674782,1.6355584675851604,0.3362027634143121,0.3926230837568511,0.04533412079154614,1.0945932712132516e-09,1.3955612733100374e-09,8.003194720543497e-11,1.7186683802844714e-24,7.950166966732487e-25,1.849632079338486e-24,5.8634461235743e-07,4.146082515101363e-06,1.047344165380863e-23,9.9999992449753e-21,1.4728265785976208e-26,9.999998618658326e-21,1.0673785084062183e-16,4.822176680769697e-17,1.1102230246251565e-16,0.36,0.46,0.5,0.0,0.36,0.98,0.0,0.1,0.02,0.5,0.28,0.64,0.0,0.0,0.44,0.52,0.44,-0.03999999999999998,-0.040000000000000036
weak,weak,,-10.0,32,16x16,Stage-I + VP,50,0,0.0,0.4288987274169471,0.46832335299538347,0.013937454488460482,0.5834729540351141,0.6335357068984638,0.18381062624926878,1.3487836311072503,1.6885501656285657,0.3303463404845012,0.4069303317167575,0.027208171712075478,1.1843752551142045e-09,1.5392339937221035e-09,5.800142284335745e-11,1.6351460822135557e-24,7.836015122239621e-25,1.7052765185096254e-24,1.3683975641213314e-05,9.242838060988561e-05,1.1120493242495222e-23,1.0000001453198664e-20,1.673656765303019e-26,1.0000001651895642e-20,9.65911728343583e-17,4.0752914368764475e-17,1.0626019854981767e-16,0.38,0.5,0.54,0.0,0.38,1.0,0.0,0.12,0.0,0.46,0.28,0.62,0.0,,,0.52,0.44,-0.03999999999999998,-0.040000000000000036
weak,weak,,-10.0,32,16x16,Stage-I only,50,0,0.0,0.21415446640553445,0.3483692196880322,0.044171020129746136,1.271687563688105,0.5568433309633996,1.16677216567919,2.101859070402865,2.40724535914373,1.5746260649871224,0.3580366920744647,1.6205685940762042,2.5925038251799733e-09,4.297969340050703e-09,3.6884141538740325e-10,3.2069178834901856e-09,2.382646749309556e-09,2.9236551061874958e-09,1.0874233460768483e-23,2.5244917263881155e-24,1.0356298259835864e-23,1.0000002868914524e-20,1.6098870493365315e-26,1.0000001193744157e-20,1.0102318915630257e-16,3.710716129936018e-17,1.0864125050616666e-16,0.0,0.02,0.04,0.0,0.02,,,,,,,,,,,0.52,0.44,-0.03999999999999998,-0.040000000000000036
weak,weak,,-10.0,32,32x32,Stage-I + Stage-II,50,0,0.0,0.36640667224763057,0.3382794908188199,0.2550712743933169,1.3519459219202248,0.8534550147241209,1.145836529439287,2.2142698549087863,3.0446069793041284,1.0434803291291894,0.4279214437077896,1.1395758296511596,1.9445488122466202e-09,3.999680276299292e-09,2.3219651142140165e-10,2.6107661342123e-09,2.6258901125367394e-09,1.969292049282903e-09,0.10503401053351848,0.2600468683550015,1.0653353766509716e-23,9.999998679823622e-21,1.3533716017779968e-26,9.999999265463547e-21,1.053290238327635e-16,5.416844865339497e-17,1.0626019854981767e-16,0.0,0.02,0.16,0.0,0.06,,,,,,,,,0.0,0.42,0.42,0.46,0.1,0.07999999999999999
weak,weak,,-10.0,32,32x32,Stage-I + Stage-II + VP,50,0,0.0,0.7313274594367266,0.37609524173468584,0.9462840244889836,0.9768892902775081,0.633244213854068,1.0381732237153793,1.7158393652313968,2.2239776959120467,0.6011941050269927,0.4390792988939354,0.523902379770843,1.7988468319503874e-09,1.6818144128862811e-09,1.7269985445672249e-09,1.6354890696554017e-24,8.816246318770204e-25,1.794620424978834e-24,0.0004853404739673223,0.0019771502362560187,1.0972920437157198e-23,1.0000001115491088e-20,1.5946419178792524e-26,1.0000001116991675e-20,1.0841114874756009e-16,3.77567547303638e-17,1.1102230246251565e-16,0.14,0.14,0.24,0.0,0.12,0.98,0.0,0.16,0.02,0.76,0.52,0.88,0.0,0.0,0.42,0.42,0.46,0.1,0.07999999999999999
weak,weak,,-10.0,32,32x32,Stage-I + VP,50,0,0.0,0.7797269647798104,0.3120204482773761,0.923925103514224,1.0036909385145318,0.4855436911642121,1.031871773281737,1.5182311595034088,1.8224201878541404,0.6141217890391376,0.35455475553632354,0.5637544214771635,1.642352998761289e-09,1.4416388973493945e-09,1.6095208399335435e-09,1.4337985621491903e-24,9.178277530750717e-25,1.540359642930141e-24,9.911059932691818e-05,0.00039769050143584724,1.0429776274861094e-23,9.999999974415776e-21,1.835736394855757e-26,1.000000112313531e-20,9.235802121539486e-17,4.560158531734677e-17,8.173989176567282e-17,0.04,0.04,0.16,0.0,0.08,1.0,0.0,0.06,0.0,0.84,0.54,0.92,0.0,,,0.42,0.46,0.1,0.07999999999999999
weak,weak,,-10.0,32,32x32,Stage-I only,50,0,0.0,0.45315606001853204,0.34229333628442576,0.37704784518638496,1.272371061874636,0.5344501511527534,1.1952646174518933,2.067026061455176,2.14581964893852,1.2229702131727238,0.34267143391650967,1.2279669112167304,2.2438098560755344e-09,3.9742619493730315e-09,2.900870530880857e-10,2.890190727768555e-09,2.2109463223664163e-09,2.609030798104085e-09,1.0296293858628804e-23,2.774580010647202e-24,9.613460012591619e-24,9.999997647832129e-21,1.6346720805237865e-26,9.999998526186562e-21,1.0019498013192322e-16,4.797046938061128e-17,9.71445146547012e-17,0.0,0.0,0.1,0.0,0.02,,,,,,,,,,,0.42,0.46,0.1,0.07999999999999999
