figure,variant,x_value,metric,plot_metric_name,plot_y_mean,plot_y_median,plot_y_std,plot_y_p10,plot_y_p90,mean,median,std,p10,p90,success_rate,outlier_rate,n,K,paper_k,effective_K,position_rmse_m_mean,position_rmse_m_median,position_rmse_m_std,position_rmse_m_p10,position_rmse_m_p90,y_nmse_mean,y_nmse_median,y_nmse_std,y_nmse_p10,y_nmse_p90,range_rmse_m_mean,range_rmse_m_median,range_rmse_m_std,range_rmse_m_p10,range_rmse_m_p90,tau_rmse_s_mean,tau_rmse_s_median,tau_rmse_s_std,tau_rmse_s_p10,tau_rmse_s_p90,raw_objective_final_mean,raw_objective_final_median,raw_objective_final_std,raw_objective_final_p10,raw_objective_final_p90,outlier_flag_mean,outlier_flag_median,outlier_flag_std,outlier_flag_p10,outlier_flag_p90,peb_position_m_mean,peb_position_m_median,peb_position_m_std,peb_position_m_p10,peb_position_m_p90,peb_scalar_m_mean,peb_scalar_m_median,peb_scalar_m_std,peb_scalar_m_p10,peb_scalar_m_p90,peb_dual_m_mean,peb_dual_m_median,peb_dual_m_std,peb_dual_m_p10,peb_dual_m_p90,peb_evs_m_mean,peb_evs_m_median,peb_evs_m_std,peb_evs_m_p10,peb_evs_m_p90
fig2,free_jones_vp_force_rescue_lower_raw,-10.0,y_nmse,y_nmse,0.018061781168612866,6.884761016416827e-05,0.11818666930644793,4.320031369093563e-05,0.00017433931401205225,0.018061781168612866,6.884761016416827e-05,0.11818666930644793,4.320031369093563e-05,0.00017433931401205225,1.0,0.02,100,3,3,3,0.029803674695842993,0.001717157607472393,0.1846658335193628,0.0006232222454498694,0.006653615650403569,0.018061781168612866,6.884761016416827e-05,0.11818666930644793,4.320031369093563e-05,0.00017433931401205225,0.019436952521699663,0.00044075479035552475,0.1291312802360263,0.00015820851862882106,0.0016970734608572633,3.482741180021572e-11,1.597540535325219e-12,2.42603003498888e-10,5.630365770215609e-13,6.284745764503684e-12,3.68732751444231,3.3054111405868625,1.8886548883250214,1.6612270485362761,6.785957686456247,0.02,0.0,0.13999999999999999,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue_lower_raw,-5.0,y_nmse,y_nmse,2.737639392500048e-05,2.2100394696176057e-05,2.5270395174697077e-05,1.242799817747666e-05,4.1542505770426574e-05,2.737639392500048e-05,2.2100394696176057e-05,2.5270395174697077e-05,1.242799817747666e-05,4.1542505770426574e-05,1.0,0.0,100,3,3,3,0.0013977595661365568,0.0011398030303990988,0.0011008617504039246,0.0004015486378792788,0.0026562905912604134,2.737639392500048e-05,2.2100394696176057e-05,2.5270395174697077e-05,1.242799817747666e-05,4.1542505770426574e-05,0.00037507468617211564,0.00023401907477197878,0.0004913613874438322,9.167368540393615e-05,0.0007381393382372513,1.3562114451649281e-12,7.433726853265492e-13,1.2322990239192634e-12,2.874675307171334e-13,3.2662436934966266e-12,1.1642618706111973,1.0443266174359738,0.5970103869513671,0.5253262298724537,2.146014320127392,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue_lower_raw,0.0,y_nmse,y_nmse,8.878312134473545e-06,7.382469408075347e-06,5.235721189193019e-06,4.196533588455549e-06,1.5719717622161327e-05,8.878312134473545e-06,7.382469408075347e-06,5.235721189193019e-06,4.196533588455549e-06,1.5719717622161327e-05,1.0,0.0,100,3,3,3,0.0008068793498096949,0.0006687999612054938,0.0005734594778795604,0.00020553123838900809,0.001530844801866121,8.878312134473545e-06,7.382469408075347e-06,5.235721189193019e-06,4.196533588455549e-06,1.5719717622161327e-05,0.00019178239378481415,0.00012852481310857174,0.00016532957965447443,5.014301743509161e-05,0.0004132469637971568,7.851820883307926e-13,4.547845260768401e-13,6.857000326845963e-13,1.75089472120141e-13,1.8674096806930934e-12,0.3681719514946974,0.33024531335835416,0.18879090383857736,0.16612267907320935,0.6785990778290817,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue_lower_raw,5.0,y_nmse,y_nmse,2.9334040556275715e-06,2.427542126968374e-06,1.8379900293492738e-06,1.3602902761566054e-06,4.876703434962578e-06,2.9334040556275715e-06,2.427542126968374e-06,1.8379900293492738e-06,1.3602902761566054e-06,4.876703434962578e-06,1.0,0.0,100,3,3,3,0.00048196485728864327,0.00040826926991308716,0.0003376410716379691,0.0001258550440440601,0.0009475243493529224,2.9334040556275715e-06,2.427542126968374e-06,1.8379900293492738e-06,1.3602902761566054e-06,4.876703434962578e-06,0.00011386315016701897,8.12862056716764e-05,0.00010355616043174408,2.5976893287582796e-05,0.00023688783396501613,4.3749968537200777e-13,2.511264428000757e-13,3.955910414517947e-13,9.4133195874172e-14,1.0442385821746912e-12,0.11642625058417934,0.10443278601183484,0.05970101182666758,0.052532604021378555,0.21459228762870114,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_force_rescue_lower_raw,10.0,y_nmse,y_nmse,9.469481639903109e-07,7.800608263127865e-07,6.079895244827354e-07,4.595282542581693e-07,1.569306078940458e-06,9.469481639903109e-07,7.800608263127865e-07,6.079895244827354e-07,4.595282542581693e-07,1.569306078940458e-06,1.0,0.0,100,3,3,3,0.0002819576570590329,0.00023446447105109416,0.00019733193162410086,7.401156675017879e-05,0.0005369013458002951,9.469481639903109e-07,7.800608263127865e-07,6.079895244827354e-07,4.595282542581693e-07,1.569306078940458e-06,6.547224117448706e-05,4.659099057125927e-05,5.8571466707917794e-05,1.1275607063156798e-05,0.00013738352175212152,2.4517109157766264e-13,1.466286566317421e-13,2.1697559270779795e-13,5.5228259285628087e-14,5.855750546078188e-13,0.03681722227211614,0.033024638602451015,0.018879130151092268,0.016612268580118085,0.06786019967717222,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_gated_rescue,-10.0,y_nmse,y_nmse,0.02131594922146685,0.0019032964180295386,0.11776585067978285,0.00010117344379773837,0.00983844565287076,0.02131594922146685,0.0019032964180295386,0.11776585067978285,0.00010117344379773837,0.00983844565287076,1.0,0.02,100,3,3,3,0.04371400574953613,0.01638965127169479,0.18302252379268164,0.0019378296432132841,0.03086786510031989,0.02131594922146685,0.0019032964180295386,0.11776585067978285,0.00010117344379773837,0.00983844565287076,0.02640544177301524,0.005732246076387338,0.1284575074025006,0.0005512804111650941,0.01830439653402005,3.904473360896926e-11,5.216702363611261e-12,2.421532606072608e-10,1.6854900627813032e-12,1.3542912373413473e-11,3.6885291757839425,3.305585312044032,1.8893035728025493,1.6621593236793626,6.7866055520290045,0.02,0.0,0.13999999999999999,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_gated_rescue,-5.0,y_nmse,y_nmse,0.001110500218733262,0.0005821139716700905,0.0013290469381832056,2.152979482175921e-05,0.0027413144289804466,0.001110500218733262,0.0005821139716700905,0.0013290469381832056,2.152979482175921e-05,0.0027413144289804466,1.0,0.0,100,3,3,3,0.011032364876846137,0.006776739401113969,0.0101747886813621,0.0010542295590045992,0.02578349260290764,0.001110500218733262,0.0005821139716700905,0.0013290469381832056,2.152979482175921e-05,0.0027413144289804466,0.0037698318612067734,0.002784071934511263,0.0046631334447198155,0.0002279874519074866,0.008413569353352484,3.4180145392617954e-12,2.308407123365434e-12,4.9632377909750085e-12,6.789058950839719e-13,5.7698033687552366e-12,1.164646195649418,1.044637193632954,0.5971689122448529,0.525362097419542,2.1460205010879188,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_gated_rescue,0.0,y_nmse,y_nmse,0.00035602377334739374,6.294504707317862e-05,0.0005227450418750688,5.347659637498944e-06,0.001100570414910758,0.00035602377334739374,6.294504707317862e-05,0.0005227450418750688,5.347659637498944e-06,0.001100570414910758,1.0,0.0,100,3,3,3,0.0053590996908068,0.0020369059376822126,0.007401335102065091,0.0002756037740718934,0.0205557322622392,0.00035602377334739374,6.294504707317862e-05,0.0005227450418750688,5.347659637498944e-06,0.001100570414910758,0.0017628486082336,0.0011554326304446525,0.001856450205354232,8.129070058512816e-05,0.004378372105492417,1.6932220213556168e-12,1.3852820789158018e-12,1.350351086237562e-12,2.7063667662390806e-13,3.351893641910169e-12,0.3682874054304764,0.33037601611551676,0.18881938958894284,0.16612267907320935,0.678606310758598,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_gated_rescue,5.0,y_nmse,y_nmse,5.9358968585948036e-05,4.509344596669539e-06,0.00010841696328219517,1.5524544975112326e-06,0.0002435201865697278,5.9358968585948036e-05,4.509344596669539e-06,0.00010841696328219517,1.5524544975112326e-06,0.0002435201865697278,1.0,0.0,100,3,3,3,0.0013815780918879463,0.000804699449134983,0.0016929278993815945,0.0001613926759687566,0.003429831225267023,5.9358968585948036e-05,4.509344596669539e-06,0.00010841696328219517,1.5524544975112326e-06,0.0002435201865697278,0.0008241488101007881,0.00024459948573517335,0.0011075658023721542,3.2520006669598996e-05,0.0027652538160515003,7.720255823463894e-13,5.106714227071438e-13,7.802493482278501e-13,1.3930115471317474e-13,1.7542008633803425e-12,0.11644856709035173,0.10445126367172969,0.05971585201704546,0.052532604021378555,0.21459902225716324,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_gated_rescue,10.0,y_nmse,y_nmse,1.5155700069820598e-05,1.2694543353380097e-06,2.8987689784425815e-05,5.016228453162993e-07,4.841337392462915e-05,1.5155700069820598e-05,1.2694543353380097e-06,2.8987689784425815e-05,5.016228453162993e-07,4.841337392462915e-05,1.0,0.0,100,3,3,3,0.0006393139321775595,0.00039525913867598814,0.0006478896288128234,8.844348560513491e-05,0.0015443132116413013,1.5155700069820598e-05,1.2694543353380097e-06,2.8987689784425815e-05,5.016228453162993e-07,4.841337392462915e-05,0.00039583933103476854,8.89634409661635e-05,0.0005526994458866983,2.0063995499200032e-05,0.0011992715920961018,4.092756349736626e-13,2.591298729667575e-13,4.0672404123893777e-13,7.19242678738583e-14,1.0396669313814579e-12,0.03682219497553414,0.03303146770292248,0.018881808200711347,0.016612268580118085,0.06786091996742746,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fig2,free_jones_vp_geometry_gated_lower_raw,-10.0,y_nmse,y_nmse,0.01835779014797013,7.622911400817305e-05,0.11815407823593664,4.320031369093563e-05,0.0012292775606345824,0.01835779014797013,7.622911400817305e-05,0.11815407823593664,4.320031369093563e-05,0.0012292775606345824,1.0,0.02,100,3,3,3,0.03070716063139971,0.0021313528163472905,0.18457200787549846,0.0006232222454498694,0.009868000909407081,0.01835779014797013,7.622911400817305e-05,0.11815407823593664,4.320031369093563e-05,0.0012292775606345824,0.02012618254277011,0.0004764689300981149,0.1290671347271012,0.00015820851862882106,0.00628755684528497,3.5187394758673784e-11,2.0132317896662044e-12,2.4255776559706265e-10,6.636584576582613e-13,6.818981351961061e-12,3.6874532307943038,3.305585312044032,1.888727852034451,1.66126259000872,6.785957686456247,0.02,0.0,0.13999999999999999,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
