snr_db,seed,lambda_rel,lambda_floor,selected_branch,ue_position_rmse_m,y_nmse,raw_objective,total_runtime_s,assignment_margin,sigma_delta_t_ns,rank1_ratio_max,initial_z_residual,direct_vp_good,direct_vp_raw_objective,direct_vp_nfev,stage2_rescue_mode,jnpp_num_candidates,jnpp_best_objective,jnpp_best_clock_std_ns,jnpp_runtime_s,error_message
-10.0,2039,0.0003,1e-12,direct_vp,0.0009152672417517205,2.9733594609191445e-05,2.27034545776595,46.92474422301166,7.178582433696936,0.19901560027314066,0.47355020804239767,0.908899267201671,True,2.27034545776595,5,,nan,nan,nan,nan,
-10.0,2040,0.0003,1e-12,direct_vp,0.0013477361830816531,3.0157315904942423e-05,0.9646125590243773,48.52334572302061,21.460490565568843,0.1306008233817272,0.15258840853501857,0.9091346990204838,True,0.9646125590243773,5,,nan,nan,nan,nan,
-10.0,2041,0.0003,1e-12,direct_vp,0.0019058637567581878,4.5467839586552784e-05,3.0982830350721287,43.288511307997396,21.237005997208215,0.025829702639859255,0.14559084645789708,0.9093704483415194,True,3.0982830350721287,5,,nan,nan,nan,nan,
-10.0,2042,0.0003,1e-12,direct_vp,0.0011850962179732558,3.3538642349279314e-05,1.0918225968706856,49.407846132002305,42.71248470957384,0.061231177125583035,0.10473423146117876,0.910041463214022,True,1.0918225968706856,5,,nan,nan,nan,nan,
-10.0,2043,0.0003,1e-12,direct_vp,0.0013884449243761992,5.751967451372658e-05,3.0618606639118533,44.09534740602248,28.935695160892116,0.020825376279056968,0.1164970526471649,0.9083972631121446,True,3.0618606639118533,5,,nan,nan,nan,nan,
-10.0,2044,0.0003,1e-12,direct_vp,0.0004998879521346288,4.9264951405995336e-05,2.384540473743459,38.685712884005625,33.981114797276966,0.13942191524215863,0.1388615168342141,0.9089122613650017,True,2.384540473743459,5,,nan,nan,nan,nan,
-10.0,2025,0.001,1e-12,direct_vp,0.0015076377747282152,2.220105868397432e-05,2.651258773715795,40.927220373007,16.295240608320935,0.06833576859839639,0.15425647080508811,0.907150821653131,True,2.651258773715795,5,,nan,nan,nan,nan,
-10.0,2026,0.001,1e-12,direct_vp,0.0005773109852951294,7.367425457703819e-05,4.702274846692373,55.08261338202283,20.402103246243165,0.01374665656087448,0.11001802276287234,0.9100489504808353,True,4.702274846692373,5,,nan,nan,nan,nan,
-10.0,2027,0.001,1e-12,direct_vp,0.0017771252506027769,1.6181548248703926e-05,0.7882922958898319,39.45751501698396,38.1981474454877,0.10579923007797612,0.10476467056772092,0.9086367029311748,True,0.7882922958898319,5,,nan,nan,nan,nan,
-10.0,2028,0.001,1e-12,direct_vp,0.0008494350762670559,4.5676907919690555e-05,3.398525365832874,39.89414618999581,17.894451387750852,0.010102568717623415,0.12943253214517642,0.9094193565345737,True,3.398525365832874,5,,nan,nan,nan,nan,
