snr_db,seed,weight_mode,selected_branch,ue_position_rmse_m,y_nmse,raw_objective,total_runtime_s,error_message,assignment_margin,sigma_delta_t_ns,rank1_ratio_max,initial_z_residual,direct_vp_good,direct_vp_raw_objective,direct_vp_nfev,stage2_rescue_mode,jnpp_weight_mode,jnpp_weights,jnpp_rank1_ratios,jnpp_use_leave_one_out,jnpp_leave_one_out_effective,jnpp_num_candidates,jnpp_num_subsets,jnpp_best_objective,jnpp_best_clock_std_ns,jnpp_runtime_s,direct_vp_selected,jnpp_selected,rollback_selected
-20.0,2063,equal,direct_vp_rollback,0.8828419606810435,0.999405150008514,33.350269067857425,82.33846128499135,,0.0010789820999690984,11.024014927228988,0.9512920102580162,0.9904726751268061,False,33.350269067857425,9,robust_jnpp,equal,"[1.0, 1.0]","[0.9512920102580162, 0.23539883320011865]",True,False,1,1,0.98872543483687,14.48896186217804,1.8500088090077043,False,False,True
-20.0,2063,exponential,direct_vp_rollback,0.8828419606810435,0.999405150008514,33.350269067857425,73.37410086998716,,0.0010789820999690984,11.024014927228988,0.9512920102580162,0.9904726751268061,False,33.350269067857425,9,robust_jnpp,exponential,"[0.1491826297591316, 0.6245039237559855]","[0.9512920102580162, 0.23539883320011865]",True,False,1,1,0.6193480094670034,12.91218752750772,3.5233866840135306,False,False,True
-20.0,2063,inverse_rank,direct_vp_rollback,0.8828419606810435,0.999405150008514,33.350269067857425,71.76056484301807,,0.0010789820999690984,11.024014927228988,0.9512920102580162,0.9904726751268061,False,33.350269067857425,9,robust_jnpp,inverse_rank,"[0.13344486420164295, 1.866555135798357]","[0.9512920102580162, 0.23539883320011865]",True,False,1,1,1.8470906309153374,12.928828421088111,2.78432795999106,False,False,True
-20.0,2064,equal,direct_vp,0.19453655396005273,0.7576150646290903,18.312575192635236,48.94179281502147,,6.133691628345146,0.3513534712301317,0.4460806941608934,0.9901813689541767,True,18.312575192635236,11,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2064,exponential,direct_vp,0.19453655396005273,0.7576150646290903,18.312575192635236,47.57134793300065,,6.133691628345146,0.3513534712301317,0.4460806941608934,0.9901813689541767,True,18.312575192635236,11,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2064,inverse_rank,direct_vp,0.19453655396005273,0.7576150646290903,18.312575192635236,48.62455973599572,,6.133691628345146,0.3513534712301317,0.4460806941608934,0.9901813689541767,True,18.312575192635236,11,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
-20.0,2065,equal,direct_vp_rollback,0.8760236370685169,0.9675058160619184,9.350878294451263,129.93224126601126,,0.24321664413000438,15.870616088611142,0.9857557636975949,0.9902783527249368,False,9.350878294451263,20,robust_jnpp,equal,"[1.0, 1.0]","[0.22930168823597294, 0.9857557636975949]",True,False,1,1,1.0024854479001206,14.319260590303799,3.0198045450088102,False,False,True
-20.0,2065,exponential,direct_vp_rollback,0.8760236370685169,0.9675058160619184,9.350878294451263,132.66773942799773,,0.24321664413000438,15.870616088611142,0.9857557636975949,0.9902783527249368,False,9.350878294451263,20,robust_jnpp,exponential,"[0.632165927063295, 0.13924622258578848]","[0.22930168823597294, 0.9857557636975949]",True,False,1,1,0.6266772770077472,13.167166425151002,3.6089260280132294,False,False,True
-20.0,2065,inverse_rank,direct_vp_rollback,0.8760236370685169,0.9675058160619184,9.350878294451263,169.89040648200898,,0.24321664413000438,15.870616088611142,0.9857557636975949,0.9902783527249368,False,9.350878294451263,20,robust_jnpp,inverse_rank,"[1.880150067296863, 0.1198499327031372]","[0.22930168823597294, 0.9857557636975949]",True,False,1,1,0.11999336534281643,13.321927249997426,2.511354824004229,False,False,True
-20.0,2066,equal,direct_vp,0.00494913868028299,0.00033779900423863305,8.082188106416513,41.26710634998744,,8.196668513686195,0.004921611960661611,0.4386026306137858,0.9903189127338847,True,8.082188106416513,5,,,,,nan,nan,nan,nan,nan,nan,nan,True,False,False
