target_delay_separation_ns,achieved_delay_separation_ns_mean,polarization_overlap_target,receiver_mode,n,n_failed,n_resolved,resolution_probability,resolution_ci_low,resolution_ci_high,resolution_ci_method,panel_pairing_accuracy,pole_collapse_rate,stage1_delay_rmse_ns_median,stage1_delay_rmse_ns_p95,position_rmse_m,position_p95_m,clock_rmse_ns,channel_nmse_p95
1.0,0.9999999999998899,0.9,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.45,0.055,48.57994665005978,92.32758638599469,1.0301404621821686,1.7651104077724098,2.3394562198122486,0.9994636110234164
1.0,0.9999999999998899,1.0,dual_pol,200,0,13,0.065,0.03506070865697905,0.10858723650381519,Clopper-Pearson exact,0.485,0.065,5.849912773035774,85.0445303766582,0.6491219994021283,1.4663601790903604,1.5361135679877702,0.9959142798920072
1.0,0.9999999999998899,1.0,full_6d,200,0,79,0.395,0.32676499180506335,0.4663964280265182,Clopper-Pearson exact,0.745,0.09,0.4138325331515542,69.90987029393423,0.3377159681715254,0.7098314126524289,0.7267557603396827,0.9112110227383718
1.0,0.9999999999998899,1.0,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.495,0.075,48.7623083214603,91.88417201692262,0.9656497501937219,1.771935030768524,2.216443419461823,0.9995341373084524
2.0,1.9999999999998124,0.1,dual_pol,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.5,0.03,19.573237485571457,87.78245219437161,0.672491663058328,1.5705857495721889,1.4640187858818656,0.9966797706084657
2.0,1.9999999999998124,0.1,full_6d,200,0,185,0.925,0.8793157746003387,0.9574171962629073,Clopper-Pearson exact,0.98,0.005,0.058524406785163935,0.38265655601917525,0.10598436928753419,0.002127748645514447,0.3298748015267397,8.146582862724048e-05
2.0,1.9999999999998124,0.1,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.34,0.02,66.493140631872,104.34067536655337,1.2404528390007454,1.9977129123812716,2.5637120836182055,0.9998835623930591
2.0,1.9999999999998124,0.5,dual_pol,200,0,140,0.7,0.6313501245409987,0.7626103559245527,Clopper-Pearson exact,0.93,0.005,0.16519509456093134,51.06588999487001,0.2697327481492943,0.6171974892840824,0.6103486713839705,0.581910553623172
2.0,1.9999999999998124,0.5,full_6d,200,0,188,0.94,0.8975381686916755,0.9686160461065165,Clopper-Pearson exact,0.98,0.005,0.05702042304172107,0.3723737898780086,0.08880807736101083,0.0021609932841514775,0.1363144449122934,8.424461053844877e-05
2.0,1.9999999999998124,0.5,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.4,0.04,44.96038517932155,87.29596235463754,1.0267986176367567,1.8758471251783353,2.2552203356173863,0.9996065565587954
2.0,1.9999999999998124,0.9,dual_pol,200,0,157,0.785,0.7215289561159429,0.8398183046676636,Clopper-Pearson exact,0.925,0.01,0.11595648555287075,13.007842508722275,0.24549528965690634,0.21501728432282832,0.6327092118864462,0.5065587619394069
2.0,1.9999999999998124,0.9,full_6d,200,0,185,0.925,0.8793157746003387,0.9574171962629073,Clopper-Pearson exact,0.99,0.0,0.05622066260384635,0.43211248795943824,0.0959432371382684,0.002400270154082371,0.17910498926903146,8.362437682542375e-05
2.0,1.9999999999998124,0.9,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.46,0.03,41.71320670119647,87.3199216708078,0.9486595892579343,1.9182611398977316,2.200862697302006,0.9995858684955371
2.0,1.9999999999998124,1.0,dual_pol,200,0,159,0.795,0.7323460792147147,0.8486894280044806,Clopper-Pearson exact,0.94,0.005,0.11306485830901628,9.075588544246145,0.2299628360322368,0.2142819708490283,0.6021283774004318,0.5061421222805761
2.0,1.9999999999998124,1.0,full_6d,200,0,185,0.925,0.8793157746003387,0.9574171962629073,Clopper-Pearson exact,0.99,0.0,0.06098226369825125,0.45326188794353045,0.13312194075122774,0.0023665790459108816,0.3067435547369034,8.658460972592559e-05
2.0,1.9999999999998124,1.0,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.42,0.025,43.50721134087844,87.15882094794516,1.0072673820692402,1.940812471243367,2.179806480635095,0.9995902684766668
5.0,4.999999999999509,0.1,dual_pol,200,0,29,0.145,0.09930862255520755,0.20156149617317973,Clopper-Pearson exact,0.68,0.01,5.321363883618501,83.76689900697433,0.67842662663322,1.610878718757688,1.5301168252894894,0.9965541691799106
5.0,4.999999999999509,0.1,full_6d,200,0,195,0.975,0.9426256488731541,0.9918338338091575,Clopper-Pearson exact,0.99,0.0,0.023782264542740832,0.13877677920046325,0.1156813505456107,0.0026435946515808153,0.19895716366920116,8.414826158700192e-05
5.0,4.999999999999509,0.1,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.485,0.015,36.402337084582115,83.64699426629053,0.9267388125308167,1.8894464802235456,2.0206380628960696,0.9997519199723937
5.0,4.999999999999509,0.5,dual_pol,200,0,160,0.8,0.7377736354103999,0.8531055117842412,Clopper-Pearson exact,0.915,0.0,0.06792400507903731,9.28230227645661,0.2972842895239454,0.35741714943519226,0.5828570336993022,0.5189123413107869
5.0,4.999999999999509,0.5,full_6d,200,0,195,0.975,0.9426256488731541,0.9918338338091575,Clopper-Pearson exact,0.99,0.0,0.02362620740312077,0.1362854711396867,0.0013487487462312986,0.002608182985540092,0.003108629795818307,8.426776413307317e-05
5.0,4.999999999999509,0.5,scalar,200,0,1,0.005,0.00012658102786701825,0.02754189845720562,Clopper-Pearson exact,0.47,0.015,39.02787629240747,86.1090974657166,0.9566909121528038,1.8845861955568586,2.110925023287731,0.9996786945430376
5.0,4.999999999999509,0.9,dual_pol,200,0,170,0.85,0.7928412963314493,0.8964504764781374,Clopper-Pearson exact,0.925,0.0,0.04870970251506085,8.14760420095202,0.2620568316068587,0.005783280774144052,0.6131133597816572,0.5015609255875935
5.0,4.999999999999509,0.9,full_6d,200,0,196,0.98,0.9495863909101037,0.9945244341204436,Clopper-Pearson exact,0.995,0.0,0.023731888903172214,0.11050607009163849,0.05301308580682572,0.0024573889455922356,0.09832440582902366,8.448754943211153e-05
5.0,4.999999999999509,0.9,scalar,200,0,0,0.0,0.0,0.01827534035513624,Clopper-Pearson exact,0.435,0.005,46.12944415692474,85.65047533998796,0.9628197954974399,1.9581521063074427,2.1724301796937806,0.9996574337349349
5.0,4.999999999999509,1.0,dual_pol,200,0,171,0.855,0.7984385038268202,0.9006913774447924,Clopper-Pearson exact,0.93,0.0,0.04533741850775937,8.146962310656155,0.23497480365606097,0.0056714646110922395,0.5967944522405197,0.5014760198782773
5.0,4.999999999999509,1.0,full_6d,200,0,196,0.98,0.9495863909101037,0.9945244341204436,Clopper-Pearson exact,0.99,0.0,0.025083519648438406,0.10853155016939367,0.0013234144216766844,0.0023699855958752587,0.0031852329559552283,8.146360321094546e-05
5.0,4.999999999999509,1.0,scalar,200,0,1,0.005,0.00012658102786701825,0.02754189845720562,Clopper-Pearson exact,0.44,0.01,46.712209726076125,85.57817046900045,1.01039977340961,2.010704825604087,2.173467051075998,0.9997569315073307
