figure,variant,trial_id,seed,snr_db,x_name,x_value,K,paper_k,effective_K,num_ris_paths,receiver_mode,config_seed,nested_receiver_noise_convention,reference_receiver_mode,reference_sigma2,nested_base_y_noisy_hash,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m,rss_mb_before,rss_mb_after,rss_mb_delta,warning
fig1_fig2,adaptive_jones_vp_proposed,1,112311654,-10.0,snr_db,-10.0,3,3,3,3,full_6d,112311654,,,nan,,False,,144.88360562000025,1.032964247750062,0.998296984648976,0.44653019874884153,2.5660459896551616e-09,3.3385565257684657,True,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,3,4,3096725.458075429,3096774.56127919,"[5953.416886871989,129676.81866399634,73023.82355808062]","[0.00016797076587257064,7.711477507126899e-06,1.3694160046013082e-05]","[1.9451794700250065e-10,1.7749320771363016e-11,3.1939206619031373e-11]",jnpp_then_vp,"[""low_assignment_margin"",""poor_clock_consistency""]",3402575.5735358307,3096560,False,1455.0794853133223,98.57987165815777,0.03730774844860912,30.109856891466897,"[4.8684006159404385,72.38744814128302,12.925797325317612]",326.06230940600017,141.77292604100012,468.56352135800034,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,PEB,1,112311654,-10.0,snr_db,-10.0,3,3,3,3,full_6d,112311654,,,nan,,False,,3.9290873439999814,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.00143657448518401,nan,nan,0.00143657448518401,nan,nan,nan,
fig1_fig2,stage1_only,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,0.2023470509998333,0.2000519753751517,0.0002446619708887267,0.017890330241315883,3.3395196400069465e-11,0.3964068455305714,True,stage1_only,stage1_only,none,,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,190.77492694700004,0.0,191.51688350999984,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,fixed_pol_vp,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,32.0160056069999,0.00037238381202209746,2.5944912754832633e-06,5.72172349593492e-05,3.143389201928596e-13,0.39631128991806286,False,direct_vp,global_exact_spherical_vp,fixed_pol,,3,10,nan,nan,,,,direct_vp,[],3095469.816610192,3096560,True,8234769.120344114,69.74847880099937,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",190.77492694700004,28.675258186000065,220.1921416959999,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,free_jones_vp,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,70.80348179700013,0.00898841659339279,0.00235379166599074,0.0077827340583646685,5.1053850479665605e-12,0.39724257915295164,False,direct_vp,global_exact_spherical_vp,jones_free,,6,4,nan,nan,"[0.0,0.0,0.0]",,"[4.107240953116366e-06,6.29269288031017e-07,7.114048085024656e-06]",jnpp_then_vp,[],3102743.840314458,3096560,False,8210161.402642662,69.67815771135355,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",190.77492694700004,67.0284065830001,258.54529009299995,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,regularized_jones_vp,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,97.678467318,0.008985514877040477,0.0023531940109062046,0.007780271177252222,5.103533431157016e-12,0.3972422282872148,False,direct_vp,global_exact_spherical_vp,jones_regularized,,6,4,nan,nan,"[0.9999999999839999,0.9999999999839999,0.9999999999839999]",,"[1.0267852669921928e-06,1.5717396740939756e-07,1.7786616055693103e-06]",jnpp_then_vp,[],3102741.0998063628,3096560,False,8210192.797236516,69.67817876724456,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",190.77492694700004,93.8697965600004,285.38668007000024,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,adaptive_jones_vp_proposed,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,93.78751833200022,0.00037238381202209746,2.5944912754832633e-06,5.72172349593492e-05,3.143389201928596e-13,0.39631128991806286,False,direct_vp,global_exact_spherical_vp,adaptive_jones,fixed_pol_anchor,3,4,3096725.458075429,3104035.9227132,"[7.275069259953265,1.8719907502860995,3.0232219715282014]","[0.13745573605702674,0.5341906736693525,0.3307729334513566]","[5.997604870891803e-08,7.616721461787518e-08,4.3953837988766906e-07]",direct_vp,[],3095469.816610192,3096560,True,8234769.120344114,69.74847880099937,17.590422289122607,0.024728192784879918,"[5.003057421038621,4.942549780190982,4.970396344476029]",190.77492694700004,90.61281588799966,282.1296993979995,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,PEB,0,3147786918,0.0,snr_db,0.0,3,3,3,3,full_6d,3147786918,,,nan,,False,,3.9714729170000282,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.0003571212682911131,nan,nan,0.0003571212682911131,nan,nan,nan,
fig1_fig2,stage1_only,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,0.1985011689998828,0.19911839330557585,7.550807207790676e-05,0.05709012974624572,2.399238099302305e-11,0.3038325265281169,True,stage1_only,stage1_only,none,,0,0,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,201.37644871799966,0.0,202.4242171549995,nan,nan,nan,nan,nan,nan,nan,
fig1_fig2,fixed_pol_vp,1,112311654,0.0,snr_db,0.0,3,3,3,3,full_6d,112311654,,,nan,,False,,32.358421679,0.0001275677003950346,8.866662521379047e-06,0.0001004177273612991,5.86117916215515e-13,0.3038171112657055,False,direct_vp,global_exact_spherical_vp,fixed_pol,,3,10,nan,nan,,,,direct_vp,"[""poor_clock_consistency""]",3096430.069809757,3096560,True,5104869.469634179,98.49345430160623,7.504284525011509,0.1644270787749753,"[4.990838949965178,4.995234203949779,4.644254839531431]",201.37644871799966,30.087675724999826,232.51189287999932,nan,nan,nan,nan,nan,nan,nan,
