figure,trial_id,seed,snr_db,true_K,assumed_K,calibration_std_deg,delta_tau_min_ns,target_delta_tau_min_ns,achieved_delta_tau_min_ns,resolvability_target_abs_error_ns,resolvability_geometry_valid,resolvability_bracket_valid,T,ris_side,M_R,r_ue_m,baseline,position_rmse_m,outlier_flag,y_nmse,raw_objective_final,runtime_s,failed,error,y_noisy_hash,data_hash,warning,peb_position_m,peb_free_jones_m,peb_constrained_jones_m,peb_anchored_jones_m,peb_variant,jones_bound_type,constrained_jones_peb_m,anchored_jones_peb_m,free_jones_peb_m,peb_fim_rank_chi_free,peb_fim_rank_chi_constrained,peb_fim_rank_chi_anchored,peb_fim_cond_chi_free,peb_fim_cond_chi_constrained,peb_fim_cond_chi_anchored,peb_clock_schur_used,peb_rank_deficient,anchored_prior_scaling,anchored_prior_lambda,anchored_prior_precision_norm,peb_free_projection_schur_relerr,peb_con_minus_free_min_eig,peb_hyb_minus_free_min_eig,peb_ordering_ok,peb_is_data_only,peb_uses_regularization,nuisance_model,clock_eliminated,efim_condition_number,efim_parameter_order,peb_reference_type,peb_reference_data_hash,batch_size,max_batch_memory_mb,num_batches,baseline_backend,gpu_used,gpu_device,gpu_num_batches,gpu_batch_size,cache_enabled,cache_hits,cache_misses,cache_estimated_bytes,scoring_time_s,backend_warning,factorized_scoring,score_mode,coarse_backend,coarse_gpu_used,local_refinement_backend,local_refinement_gpu_used,wls_backend,mixed_backend,k_mismatch_scene_mode,true_scene_hash,estimator_scene_hash,first_trueK_preserved,rss_mb_before,rss_mb_after,selected_branch,proposed_stage2_policy,ngc_policy_active,ngc_rescue_requested,rescue_requested,ngc_selected_by,ngc_final_unreliable,global_vp_backend,global_vp_gpu_used,global_vp_gpu_device,global_vp_objective_backend,global_vp_linear_solve_backend,vp_dictionary_mode,vp_dictionary_mode_requested,vp_jacobian_mode,vp_matrix_free_enabled,vp_matrix_free_fallback_reason,vp_precontract_static_modes,vp_factor_cache_hits,vp_factor_cache_misses,vp_matrix_free_num_objective_calls,vp_matrix_free_debug_num_compares,vp_matrix_free_debug_rel_G_diff,vp_matrix_free_debug_rel_b_diff,vp_matrix_free_debug_rel_x_hat_diff,vp_matrix_free_debug_rel_regularized_objective_diff,vp_matrix_free_debug_rel_gradient_diff
fig10a,5,2584065688,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,proposed,0.0003501815098823298,0,2.5196765105378495e-05,0.19586878228818108,14.736054829321802,False,,fc9c64c0a607bb40,ed61476386c39dac,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10a,5,2584065688,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,ris_momp,5.707711020426251,1,0.9118469483626231,0.37505333936649016,11.098037328571081,False,,fc9c64c0a607bb40,ed61476386c39dac,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,256.0,11175,cupy,True,0,11175,43,True,0,2,108649389,4.796448678709567,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,5,2584065688,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_mmpsr,0.41959802192098106,1,0.4063568105274228,0.2757604709285222,5.581961179152131,False,,fc9c64c0a607bb40,ed61476386c39dac,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,108669485,5.5689201867207885,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,5,2584065688,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,2.1417858680564237,1,0.9796148318072545,0.3883775809675152,1.238164221867919,False,,fc9c64c0a607bb40,ed61476386c39dac,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,111115761,0.2979776607826352,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,5,2584065688,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,constrained_jones_peb,nan,,nan,nan,0.9745401041582227,False,,fc9c64c0a607bb40,ed61476386c39dac,,0.0008683299198404048,0.0008684027054624753,0.0008683299198404048,nan,constrained_jones_peb,constrained,0.0008683299198404048,nan,0.0008684027054624753,4,4,0,101.86120992953146,101.8347603820309,inf,True,False,disabled,nan,nan,3.27600704805914e-15,194.73457783105601,nan,True,True,False,jones_linear,True,99.23685807871583,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,3130964841caa06f,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,23,3933517826,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,proposed,0.0009673198500870787,0,1.7304747475203653e-05,0.21243188971357077,14.189103042706847,False,,5189f1c7dc1f8946,54080b09cc241d54,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10a,23,3933517826,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,ris_momp,7.722356895658359,1,0.8897488455668582,0.40060204230559193,11.810609614476562,False,,5189f1c7dc1f8946,54080b09cc241d54,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,256.0,11175,cupy,True,0,11175,43,True,0,2,108649389,4.820299307815731,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,23,3933517826,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_mmpsr,0.41959802192098106,1,0.37675489257921446,0.2921361822034283,5.801234903745353,False,,5189f1c7dc1f8946,54080b09cc241d54,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,108669485,5.787373491562903,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,23,3933517826,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.652898507525124,1,0.9780414998696745,0.4194377691145968,1.044206197373569,False,,5189f1c7dc1f8946,54080b09cc241d54,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,111115761,0.25252845231443644,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,23,3933517826,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,constrained_jones_peb,nan,,nan,nan,0.9790317434817553,False,,5189f1c7dc1f8946,54080b09cc241d54,,0.0008377288386251197,0.0008377428526735885,0.0008377288386251197,nan,constrained_jones_peb,constrained,0.0008377288386251197,nan,0.0008377428526735885,4,4,0,76.18385398932382,76.18697103083406,inf,True,False,disabled,nan,nan,5.233675348025875e-15,35.45766099005055,nan,True,True,False,jones_linear,True,74.74239134486145,"[""p_x_m"",""p_y_m"",""p_z_m"",""c_delta_t_m""]",matched_model,290b212dc6a8ee6b,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,9,3482420656,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,proposed,0.000510510253227626,0,2.1729669149952873e-05,0.2900369113526782,14.160402197390795,False,,8a4a98bef8b8c786,31b3043165618149,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cpu,False,,0,,False,0,0,0,,,False,,,,,,,False,,,,,nan,nan,direct_vp,ngc_certified_ris_only,True,False,False,ngc_green_skip_rescue,False,,,,,,explicit,,legacy_least_squares_numerical,False,,,0,0,,,,,,,
fig10a,9,3482420656,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,ris_momp,3.7708773366777617,1,0.9155578559604757,0.5556554155117642,11.819818137213588,False,,8a4a98bef8b8c786,31b3043165618149,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,256.0,11175,cupy,True,0,11175,43,True,0,2,108649389,4.631311583332717,,True,factorized_group_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,9,3482420656,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_mmpsr,0.5389471796938916,1,0.4831265545559041,0.4304065376650461,6.035829143598676,False,,8a4a98bef8b8c786,31b3043165618149,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,256.0,104,cupy,True,0,104,64,True,0,1,108669485,6.020836612209678,,True,factorized_2K_gram_projection,,,,,,False,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
fig10a,9,3482420656,0.0,3,3,0.0,0.0,0.0,1.1748620977250184,0.0,1,1,64,64,4096,3.521757768185907,nf_ris_groupomp_localgrid_wls,1.6140927094089648,1,0.9883362516224602,0.5765164092203965,0.8973960429430008,False,,8a4a98bef8b8c786,31b3043165618149,subris_fallback_to_physical_panel_centers,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,90,mixed,True,0,90,128,True,0,2,111115761,0.27749186754226685,mixed_backend_cpu_wls_and_final_fit,True,factorized_group_projection,cupy,True,cupy,True,cpu,True,,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,
