trial_id,seed,snr_db,failed,error,shared_data_hash,delta_position_error_m,delta_clock_error_ns,delta_range_rmse_m,delta_tau_rmse_s,delta_channel_y_nmse,delta_raw_objective,delta_regularized_objective,delta_route_runtime_s,delta_deployment_runtime_s,ccop_position_win,ccop_clock_win,ccop_channel_win,ccop_raw_objective_win,ccop_regularized_objective_non_degradation,ccop_incremental_runtime_win,old_outlier,ccop_outlier,outlier_rescued,outlier_introduced
14,3257551814,-10.0,False,,a9baa86001aa8d36a2e7,-0.00047875530509189357,0.004188927491212233,-0.0005740526918372665,7.676176723768705e-12,-0.021805762156313233,-0.0018923029280143444,-0.0018923828537250609,-0.017550067976117134,0.3771353280171752,True,False,True,True,True,True,True,True,False,False
15,666460866,-10.0,False,,f5970d03535acf675b58,-0.0109981818133578,-0.03381425551806812,-0.010349736884689814,-1.344024142286526e-12,-0.006414261639833471,-0.0032304364960902276,-0.0032304382566632484,0.12099397811107337,0.5145392359700054,True,True,True,True,True,False,False,False,False,False
16,4165246433,-10.0,False,,297bc485804c054bbaea,-0.009844497857331895,-0.028786107072470604,-0.008124523731894498,-3.2762217890107595e-12,-0.0010461697670902193,-0.0001711890068616384,-0.00017133150117487617,-0.0061121799517422915,0.5849511490669101,True,True,True,True,True,True,False,False,False,False
17,3618397615,-10.0,False,,4fb5687bb6e6af7db828,-0.05953636790634627,-0.1710675002290665,-0.04995961494004279,-4.049425291078701e-11,-0.163321534895886,-0.0706408256727098,-0.07063735945418514,0.13219193718396127,0.5115360452327877,True,True,True,True,True,False,False,False,False,False
18,607131593,-10.0,False,,095f9183b36373d2b4d6,-0.037694137270642206,-0.11958698021181097,-0.03348234216509674,-1.3646039025118734e-11,-0.03596664257102556,-0.00241964429457886,-0.002419794292754962,0.16260939673520625,0.5409111129119992,True,True,True,True,True,False,False,False,False,False
19,2520533696,-10.0,False,,df422399c7a07e6552ea,-0.008245531046473147,-0.024416458411740588,-0.007442322933761152,-2.3974767868841824e-12,-0.0022190764345850445,-0.0007707825982894434,-0.0007709742052255386,-0.08759779273532331,0.5289823701605201,True,True,True,True,True,True,False,False,False,False
20,1953334482,-10.0,False,,8f08ce16cc2f6d8c0022,-0.014055236103120448,-0.042759373918872225,-0.012561615591598168,-2.2954091118726765e-12,-0.006800663398432198,-0.0010649294412574672,-0.0010650547856796422,0.0434308759868145,0.4872697109822184,True,True,True,True,True,False,False,False,False,False
21,1157340362,-10.0,False,,512b7eccd0e00ec8dab6,-0.011906449859187873,-0.1667245286764003,0.08514257644226564,1.8487370466911852e-10,-0.0035587888592522043,-0.0008381867882127914,-0.0007498788604514139,0.20941816898994148,0.5495379550848156,True,True,True,True,True,False,True,True,False,False
22,2486019150,-10.0,False,,851f3469b008f257f0ba,-0.049302282768100315,-0.15091727252787696,-0.04407715353049073,-1.1722072500534611e-11,-0.028679984964796557,-0.008134722621857549,-0.008134248444437553,0.1644028949085623,0.5576976670417935,True,True,True,True,True,False,False,False,False,False
23,3565776097,-10.0,False,,d61c746fd39edda703ad,-0.0003643703878126736,-0.0660893184215355,-0.01576851069179247,-4.319441818452253e-12,-0.012048982171094083,-0.001435635214683817,-0.0014357482984082015,-0.10360561264678836,0.35357907717116177,True,True,True,True,True,True,True,True,False,False
24,1017552053,-10.0,False,,c7d59d3385c59363c718,-0.037835286832116476,-0.11182614449494803,-0.031728754709040595,-2.5884355437132563e-11,-0.043913425375657344,-0.003083193793290251,-0.0030831072239229096,0.12058795592747629,0.502092736074701,True,True,True,True,True,False,False,False,False,False
25,495786482,-10.0,False,,ac30c9577527b42b29ad,-0.007851291136784887,-0.01933074517138984,-0.006057825213667705,-3.843688929212094e-12,-0.0023461761443865376,-0.0006402102977700608,-0.0006402782560788189,-0.04492029291577637,0.46422165096737444,True,True,True,True,True,True,False,False,False,False
26,2384823148,-10.0,False,,19dac44ca185318ba8b9,-0.28766126599462094,-0.6863801615934234,-0.16028740547762993,-2.4931317909142967e-10,-0.08215455115550954,-0.013267856642007025,-0.01326481919279865,0.2265820591710508,0.7371352901682258,True,True,True,True,True,False,True,False,True,False
27,3468878064,-10.0,False,,bde61e6d52f3113939a2,-0.03908071936113424,-0.11890386449876228,-0.034760660581859,-1.1689010284452912e-11,-0.032498317516965844,-0.010582261028368567,-0.010582023882624636,0.12445770902559161,0.5116615630686283,True,True,True,True,True,False,False,False,False,False
28,1456778205,-10.0,False,,9d2f6525f6fee9781388,-0.001104075581844538,-0.004901118094633588,-0.001300757454265115,-3.83253883014325e-13,-9.09824642552375e-05,-1.1709267620396702e-05,-1.1698008845373309e-05,-0.3459714481141418,0.49109093798324466,True,True,True,True,True,True,False,False,False,False
29,3705980607,-10.0,False,,6f1d248fa2b040b92842,-0.04001862640493461,-0.13057760336334848,-0.03572303942315167,-2.61415062072487e-11,-0.04020572996150039,-0.008905111982382863,-0.00890548552376691,0.07369760796427727,0.46811956097371876,True,True,True,True,True,False,False,False,False,False
30,1122580844,-10.0,False,,35626ff7c946bed91f57,-0.04383162921663582,-0.1208814108398075,-0.036322699254967485,-2.8677808404158695e-11,-0.07689416114789661,-0.017349775134590573,-0.01734959836133676,0.15487694391049445,0.5321515598334372,True,True,True,True,True,False,False,False,False,False
31,1327027453,-10.0,False,,06e970d888c0fd2abada,-0.017859869107366467,-0.06304066478547131,-0.0162630305303466,-5.9280788695899166e-12,-0.005867388224832845,-0.0023691302537391934,-0.0023693536645188473,0.09085239376872778,0.4668601779267192,True,True,True,True,True,False,False,False,False,False
32,1372647326,-10.0,False,,b8765aae333ef88a7b99,-0.7252252594248738,-4.9935277616348515,-0.5982666512407451,-3.0718966853612713e-09,-0.9673213149483469,-0.3796151744250955,-0.3679829022448935,0.393196759512648,0.910145771689713,True,True,True,True,True,False,True,False,True,False
