figure,variant,trial_id,seed,snr_db,x_name,x_value,K,receiver_mode,failed,error,runtime_s,position_rmse_m,y_nmse,range_rmse_m,tau_rmse_s,raw_objective_final,outlier_flag,selected_branch,final_refinement_method,global_vp_mode,selected_vp_family_branch,linear_nuisance_dim,nonlinear_dim,fixed_pol_score,jones_score,lambda_jones_per_path,snr_eff_per_path,jones_leakage_per_path,reliability_decision,trigger_reasons,gof_stat,gof_dof,gof_pass,data_only_scaled_efim_lambda_min,data_only_scaled_efim_condition_number,stage1_assignment_margin,stage1_selected_clock_std_ns,delta_t_k_ns,stage1_runtime_s,global_vp_runtime_s,total_runtime_s,peb_position_m,peb_scalar_m,peb_dual_m,peb_evs_m
fig4,dual_pol_peb,7,1914929603,-30.0,snr_db,-30.0,1,dual_pol,False,,1.066341484998702,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04839778130274876,nan,0.04839778130274876,nan
fig4,dual_pol_peb,8,641399591,-30.0,snr_db,-30.0,1,dual_pol,False,,0.9470903829933377,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04771023823516806,nan,0.04771023823516806,nan
fig4,dual_pol_peb,9,3933360494,-30.0,snr_db,-30.0,1,dual_pol,False,,1.031675667007221,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.049440518546852066,nan,0.049440518546852066,nan
fig4,dual_pol_peb,10,781873798,-30.0,snr_db,-30.0,1,dual_pol,False,,0.9339056280005025,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.049101290125845624,nan,0.049101290125845624,nan
fig4,dual_pol_peb,11,3685333214,-30.0,snr_db,-30.0,1,dual_pol,False,,1.0692062370071653,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04646747632719002,nan,0.04646747632719002,nan
fig4,dual_pol_peb,12,2210497206,-30.0,snr_db,-30.0,1,dual_pol,False,,0.9081539789913222,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.049905541613753615,nan,0.049905541613753615,nan
fig4,dual_pol_peb,13,634888206,-30.0,snr_db,-30.0,1,dual_pol,False,,1.048929003009107,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.046864078231166804,nan,0.046864078231166804,nan
fig4,dual_pol_peb,14,1092560480,-30.0,snr_db,-30.0,1,dual_pol,False,,0.940024330993765,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04795898810589778,nan,0.04795898810589778,nan
fig4,dual_pol_peb,15,2734808712,-30.0,snr_db,-30.0,1,dual_pol,False,,1.0322043799969833,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.048503357801683335,nan,0.048503357801683335,nan
fig4,dual_pol_peb,16,1080178429,-30.0,snr_db,-30.0,1,dual_pol,False,,0.8996116279886337,nan,nan,nan,nan,nan,False,,,,,,,nan,nan,,,,,[],nan,,,nan,nan,nan,nan,,nan,nan,nan,0.04688634052942263,nan,0.04688634052942263,nan
