trial_id,seed,hash_match,position_error_m,outlier_flag,boundary_hit,cp_ngc_statistic,cp_ngc_truth_statistic,cp_ngc_dof,cp_ngc_pvalue,cp_ngc_truth_pvalue,oracle_bias_corrected_statistic,oracle_bias_corrected_truth_statistic,oracle_bias_corrected_pvalue,oracle_bias_corrected_truth_pvalue,cp_ngc_delta_t_gls_ns,projected_geometry_rank,cert_information_min_eigenvalue,assignment_margin,selected_clock_std_ns,max_ris_residual,stage1_runtime_s,threshold_a0p05,rejected_a0p05,truth_rejected_a0p05,oracle_bias_corrected_rejected_a0p05,oracle_bias_corrected_truth_rejected_a0p05,threshold_a0p01,rejected_a0p01,truth_rejected_a0p01,oracle_bias_corrected_rejected_a0p01,oracle_bias_corrected_truth_rejected_a0p01
11,2669766368,False,0.0002537911971745612,False,False,16.067927511266877,16.33972325949978,11,0.13862777240626709,0.12897999953077188,4.74942746145585,4.898158160384276,0.9426915962350668,0.9359981145440945,5.142778792436248,3,49.85566028361049,4.602915515496112,0.049018429492224146,0.337704024094839,12.973651063999569,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
12,795438795,False,0.002157239253821717,False,False,11.111039235332669,10.961608993738274,11,0.4340082220401623,0.4464851579135227,1.5488794604187763,1.5635487161448303,0.9995553894688108,0.9995345788104129,5.033938339587568,3,49.83816288344678,2.4528346024172594,0.5796996858902094,0.700029675553685,12.94282471599945,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
13,2634590860,False,0.001985038690183555,False,False,12254.543721736565,12260.189787207943,11,0.0,0.0,12865.898901434819,12871.509261141175,0.0,0.0,16.259533911151372,3,83.94676105559168,0.015055971112839272,66.56605112852503,0.9867150762485024,13.035453737000353,19.67513757268249,True,True,True,True,24.724970311318277,True,True,True,True
14,3257551814,False,0.7000000885037306,True,True,37.92047916339553,10.565673228176884,11,8.069103338728276e-05,0.4803331803547528,63.310848393636746,0.8768262705010811,2.2363127684607027e-09,0.9999742501896014,4.579987648822374,3,54.573331422440646,11.274009653640087,0.03784178134853879,0.17766541835653038,12.614721431997168,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
15,666460866,False,0.0007842249789459106,False,False,12.753234676075728,12.57606582928295,11,0.30975942042256327,0.32193352735377284,0.9443413362418095,0.9110061770175414,0.9999623578837595,0.9999686746256141,5.096629986504849,3,49.83497952684648,5.251506658692951,0.11788069880814787,0.1866360460139475,12.395467332000408,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
16,4165246433,False,0.0006961219243148146,False,False,9.22638416231639,9.144616225942524,11,0.6010048090932232,0.6085455058856171,1.2529219572371186,1.4231844063004553,0.9998433189385061,0.9997058692744586,5.084225463317497,3,49.792222527639595,3.4710522905398435,0.2852322147260875,0.3286170055909598,12.197652562001167,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
17,3618397615,False,0.00039490631536923386,False,False,9.716730135957718,9.593883342443462,11,0.5560331374536173,0.5672443693414607,1.599109738901963,1.6157615141946715,0.9994810292036654,0.9994543908406346,5.087024843873993,3,49.79727012498373,6.827109898118448,0.24377001301842488,0.18117142287307114,12.161896813999192,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
18,607131593,False,0.0005823531443130771,False,False,11.656435604659709,11.622278514116328,11,0.39001383624783,0.3926941453851409,0.9837779774013826,1.0582131524689367,0.9999536310777436,0.9999328698005144,5.526794462825472,3,49.78609352140644,7.148796717977256,0.14017183424423799,0.20795156846253224,12.281230464002874,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
19,2520533696,False,0.0004450473256228828,False,False,12.684176465610788,12.620198816313238,11,0.3144676139949739,0.3188717798710475,4.634910248859538,4.621962545441654,0.9475516419433525,0.9480850667353156,4.998246487934452,3,49.91077759862299,4.969894806435442,0.14426147968966632,0.16446956465148985,12.312049063999439,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
20,1953334482,False,0.0004134249173781866,False,False,11.137215252901143,11.295000607030484,11,0.43184049437841776,0.418890304233639,0.8694744414148832,0.9120521597281146,0.9999753395900176,0.9999684901093859,5.143462588434104,3,49.8374894163574,7.38662031707313,0.1218292837010447,0.14979780535129383,11.957620193003095,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
